"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","204
005","24","3.125","37.5","20.8","16.7","4.2","8.3","12.5",".",".",".",".",".",".",".",".",".","."
"","204
006","23","3.087","30.4","13.0","21.7","13.0","21.7",".",".",".",".",".",".",".",".",".",".","."
"","204
007","22","3.190","22.7","22.7","31.8","4.5","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","008
204","24","3.083","33.3","4.2","41.7","4.2","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","204
009","23","2.977","17.4","26.1","13.0","13.0","26.1",".",".","4.3",".",".",".",".",".",".",".","."
"","204
010","23","2.783","21.7","4.3","43.5","4.3","8.7","17.4",".",".",".",".",".",".",".",".",".","."
"","204
011","21","3.238","38.1","28.6","14.3","9.5",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","204
012","24","2.771","16.7","16.7","29.2","4.2","20.8","12.5",".",".",".",".",".",".",".",".",".","."
"","204
013","24","3.000","20.8","16.7","33.3","16.7","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"","014
204","21","3.333","33.3","28.6","23.8","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","015
204","18","3.278","22.2","27.8","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","016
204","19","2.711","10.5","15.8","36.8","10.5","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","326","3.073","24.8","19.0","30.4","9.2","9.8","4.9","0.9","0.9",".",".",".",".",".",".",".","."
"Spanish for Spanish Speaker","207
001","10","3.050","20.0","30.0","30.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","220
001","23","3.022","13.0","21.7","47.8","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","220
002","28","3.796","71.4","17.9",".","7.1",".",".",".","3.6",".",".",".",".",".",".",".","."
"","003
220","24","2.826","4.2","16.7","37.5","25.0","8.3","4.2",".",".",".",".",".",".",".","4.2",".","."
"Elem Survey-Spanish Am Lit","Course Total","75","3.247","32.0","18.7","26.7","13.3","4.0","1.3","1.3","1.3",".",".",".",".",".","1.3",".","."
"","221
001","29","3.448","27.6","37.9","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","28","3.804","75.0","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Survey of Spanish Lit","Course Total","57","3.623","50.9","26.3","19.3","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"","001
222","44","3.614","43.2","45.5","4.5","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"","222
002","25","3.340","40.0","20.0","20.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","003
222","22","3.114","18.2","18.2","36.4","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"","222
004","31","3.663","54.8","32.3","6.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Elem Survey Hispan Lit-1700","Course Total","122","3.482","41.0","32.0","13.9","8.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"","225
001","25","3.320","28.0","28.0","32.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","225
002","18","3.167","16.7","33.3","22.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","225
003","22","2.775","9.1","13.6","36.4","18.2","4.5","4.5","4.5","9.1",".",".",".",".",".",".",".","."
"","225
004","21","3.071","9.5","28.6","33.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","225
005","26","3.000","11.5","19.2","46.2","3.8","11.5","3.8",".",".",".",".",".",".",".",".",".","3.8"
"","225
007","22","3.227","22.7","18.2","45.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","225
008","22","3.500","45.5","31.8","13.6",".",".",".","4.5",".",".",".",".",".",".","4.5",".","."
"3rd Yr Lang Prac&Gram Rev","Course Total","156","3.155","20.5","24.4","33.3","10.9","5.8","1.3","1.3","1.3",".",".",".",".",".","0.6",".","0.6"
"","001
226","32","3.281","31.3","18.8","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
226","24","3.438","29.2","29.2","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
226","24","3.229","8.3","33.3","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","226
005","24","3.333","16.7","37.5","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","23","3.283","13.0","43.5","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","226
007","24","3.229","12.5","37.5","37.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","226
008","26","3.500","38.5","30.8","26.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Lang-Written Exprssn","Course Total","177","3.328","22.0","32.2","37.9","5.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","001
260","13","3.308","69.2",".",".",".","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"","311
001","40","3.219","27.5","20.0","32.5","12.5","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"","311
002","22","3.690","59.1","18.2","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 293 of 374",""
