"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"697","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","042","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","093","","15","",".",".",".",".",".",".",".",".",".","93.3",".",".",".",".",".","."
"697","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","32","",".",".",".",".",".",".",".",".",".","96.9",".",".",".",".",".","."
"698","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","14","3.904","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","13","3.646","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","46","3.837","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"805","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Communicatn Rsch Method","Course Total","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Internatnl/Develpmnt Commun","001","","16","3.679","50.0","18.8","18.8",".",".",".",".","6.3",".",".",".",".",".","6.3",".","."
"860
Environmntl Info & Ed Progs","001","","8","3.818","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Mass Com&Societl Institutns","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Smr-Hist Mass Com,Rsch&Meth","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","43","4.000","41.9",".",".",".",".",".",".","39.5",".",".",".","16.3","2.3",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 231 of 374",""
