"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","12","3.268","41.7","33.3","8.3","8.3","8.3",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","49","3.132","26.5","18.4","28.6","16.3","8.2","2.0",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","66","3.202","34.8","19.7","22.7","13.6","7.6","1.5",".",".","",".",".","",".",".",".",".",".","."
"Special","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","109","3.833","57.8","16.5","4.6","0.9",".",".",".","11.0","",".",".","",".","8.3","0.9",".",".","."
"Prof Yr 1","212","2.837","17.5","9.4","24.1","25.0","20.3","3.3","0.5",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","306","2.912","15.4","13.1","33.3","14.1","20.9","2.6","0.7",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","7","2.867","14.3","28.6","14.3",".","42.9",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","525","2.870","16.2","11.8","29.3","18.3","21.0","2.9","0.6",".","",".",".","",".",".",".",".",".","."
