"Summary by Level","#","Ave","A","AB","","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","",".","",".",".",".",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Senior","16","4.000","25.0","",".",".",".",".","",".","",".",".","",".","75.0","",".","",".","",".",".",".","."
"Undergraduates","19","4.000","21.1","",".",".",".",".","",".","",".",".","",".","78.9","",".","",".","",".",".",".","."
"Special","6","3.600","50.0","",".",".",".","33.3","",".","",".",".","",".","16.7","",".","",".","",".",".",".","."
"Graduate","4","2.000",".","",".",".",".","25.0","",".","",".",".","",".","75.0","",".","",".","",".",".",".","."
"Prof Yr 1","337","3.880","75.1","",".","5.3",".","0.9","",".","",".","0.3","",".","18.4","",".","",".","",".",".",".","."
"Prof Yr 2","1328","3.667","61.8","",".","26.4",".","1.4","",".","",".","10.2","",".","0.2","",".","",".","",".",".",".","."
"Prof Yr 3","12","3.231","25.0","",".","16.7",".","8.3","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Professionals","1677","3.736","64.2","",".","22.1",".","1.3","",".","",".","8.5","",".","3.8","",".","",".","",".",".",".","."
