"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special","2","",".",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","100.0"
"Prof Yr 1","61","3.642","47.5","34.4","16.4","1.6",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","6","3.417","33.3","16.7","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","102","3.302","34.3","29.4","23.5","4.9","5.9","",".","1.0",".","",".",".","",".","",".","",".",".","1.0","."
"Prof Yr 4","23","3.466","26.1","39.1","21.7","4.3",".","",".",".","4.3","",".",".","",".","",".","",".",".",".","4.3"
"Professionals","192","3.373","37.5","31.8","21.9","3.6","3.1","",".","0.5","0.5","",".",".","",".","",".","",".",".","0.5","0.5"
