"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","105
003","14","3.179","14.3","21.4","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","17","3.206","5.9","47.1","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","14","3.208","21.4","21.4","28.6",".","14.3",".",".","7.1",".",".",".",".",".","7.1",".","."
"","006
105","11","3.318","27.3","27.3","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","007
105","16","3.344","31.3","25.0","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","105
008","8","3.071",".","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"","105
009","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","120","3.295","20.0","31.7","35.0","7.5","3.3",".",".","1.7",".",".",".",".",".","0.8",".","."
"","199
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Bascom Course","236
001","17","3.344","23.5","17.6","52.9",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"Radio,TV&Film as Mass Media","250
001","223","3.007","6.3","27.4","39.0","17.9","6.3","1.3","0.4","1.3",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","147","2.840","15.0","23.1","27.2","8.2","12.9","9.5","2.0","0.7",".",".",".",".","0.7",".",".","0.7"
"","262
001","13","2.808","15.4","7.7","30.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".","."
"","262
002","19","2.529",".","21.1","26.3","21.1","5.3","10.5","5.3","10.5",".",".",".",".",".",".",".","."
"","262
003","19","2.972","21.1","15.8","15.8","21.1","21.1",".",".","5.3",".",".",".",".",".",".",".","."
"","262
004","17","2.594","11.8","23.5","23.5","17.6",".",".","17.6","5.9",".",".",".",".",".",".",".","."
"","262
005","200","2.922","10.5","23.0","32.0","18.5","11.5","3.0","1.0",".",".",".",".",".",".",".",".","0.5"
"Thry&Pract-Argument&Debate","Course Total","268","2.875","10.8","21.6","29.9","18.7","11.9","3.0","2.2","1.5",".",".",".",".",".",".",".","0.4"
"Thry&Pract-Group Discussion","266
001","288","3.370","27.8","41.3","20.1","5.6","3.5",".","1.7",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","172","3.409","37.2","25.0","30.2","4.1","0.6","0.6","1.7",".",".",".",".",".",".",".",".","0.6"
"Introduction to Film","350
001","171","2.935","9.4","19.3","42.1","16.4","9.4","2.3","1.2",".",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","167","3.070","4.8","27.5","49.7","12.6","3.6",".","0.6","1.2",".",".",".",".",".",".",".","."
"","352
001","89","2.908","12.4","20.2","23.6","28.1","12.4","1.1","1.1",".",".",".",".",".",".","1.1",".","."
"","352
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist of the Motion Picture","Course Total","90","2.916","13.3","20.0","23.3","27.8","12.2","1.1","1.1",".",".",".",".",".",".","1.1",".","."
"Intro to Video Production","355
001","119","3.139","6.7","42.0","34.5","10.9","4.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","43","3.477","41.9","34.9","11.6","9.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","104","3.158","24.0","21.2","30.8","13.5","4.8","1.0","1.9","1.0",".",".",".",".","1.0","1.0",".","."
"Communictn&Conflict Resltn","371
001","73","3.215","19.2","34.2","21.9","19.2","2.7","1.4",".","1.4",".",".",".",".",".",".",".","."
"","455
001","18","3.176","22.2","27.8","16.7","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","455
002","7","3.667","57.1",".","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"French Film","Course Total","25","3.304","32.0","20.0","20.0","12.0","8.0",".",".","4.0",".",".",".",".",".","4.0",".","."
"Russian and Soviet Film","456
001","22","2.636","9.1","13.6","40.9","4.5","18.2","9.1","4.5",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457
001","119","3.167","22.7","18.5","39.5","9.2","5.9","2.5",".","0.8",".",".",".",".",".",".",".","0.8"
"Semiotics of Communication","532
001","42","3.354","47.6","9.5","26.2","2.4","9.5",".","2.4",".",".",".",".",".",".",".",".","2.4"
"Communication Theory","560
001","19","3.132","15.8","10.5","63.2","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565
001","47","3.707","57.4","25.5","12.8","2.1",".",".",".",".",".",".",".",".",".",".",".","2.1"
"Classical Rhetorical Theory","570
001","22","2.886","27.3","13.6","18.2","27.3","4.5",".","9.1",".",".",".",".",".",".",".",".","."
"Interpersonal Communication","572
001","39","3.171","30.8","23.1","17.9","5.1","17.9","2.6",".",".",".",".",".",".",".","2.6",".","."
"Topics-Rhetoric&Pub Address","610
001","31","2.933","16.1","19.4","32.3","12.9","9.7","3.2","3.2",".",".",".",".",".","3.2",".",".","."
