"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ESL: Grammar-Academic Use","115
001","20","",".",".",".",".",".",".",".",".",".","95.0","5.0",".",".",".",".","."
"","116
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","32","",".",".",".",".",".",".",".",".",".","96.9","3.1",".",".",".",".","."
"","117
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","75.0","25.0",".",".",".",".","."
"","004
117","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","117
005","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","75","",".",".",".",".",".",".",".",".",".","92.0","8.0",".",".",".",".","."
"","118
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","15","3.500","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
118","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
118","16","3.563","56.3","37.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","118
006","16","3.594","43.8","31.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
118","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","110","3.659","50.9","35.5","12.7",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","122
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","201
003","13","2.885","30.8","23.1","23.1",".",".","15.4","7.7",".",".",".",".",".",".",".",".","."
"","201
004","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
201","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","17","3.781","70.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","015
201","15","3.200","13.3","60.0","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","019
201","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
023","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
024","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
026","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
027","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
028","19","3.639","42.1","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","201
029","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
030","17","3.412","23.5","70.6",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","201
031","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","216","3.600","47.2","38.0","9.7","1.4","0.5","1.4","0.9",".",".",".",".",".",".",".",".","0.9"
"","203
002","18","3.412","11.1","61.1","16.7","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","003
203","19","3.263","5.3","42.1","52.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
203","12","2.875","8.3","8.3","58.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","005
203","16","3.313","6.3","50.0","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","65","3.242","7.7","43.1","41.5","1.5","4.6",".",".","1.5",".",".",".",".",".",".",".","."
"","207
001","265","3.179","12.1","37.0","33.6","11.3","4.2","0.4","0.8",".",".",".",".",".",".","0.4",".","0.4"
"","002
207","268","3.264","17.9","35.4","33.2","9.7","2.2","1.1",".","0.4",".",".",".",".",".",".",".","."
"","207
003","286","3.316","24.8","34.3","27.6","7.3","3.8",".","1.0","0.3",".",".",".",".","0.3",".",".","0.3"
"","207
092","18","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Lit, I","Course Total","837","3.260","19.0","35.2","31.2","9.4","3.3","0.5","0.6","0.2",".",".",".",".","0.1","0.1",".","0.2"
"","208
001","205","3.078","14.1","28.8","37.1","8.3","7.8","1.5","2.0",".",".",".",".",".",".",".",".","0.5"
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 196 of 374",""
