"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","132","2.504","12.9","6.8","24.2","6.8","36.4","6.8","3.8",".",".",".",".",".","0.8",".",".","1.5"
"","201
002","58","2.295","8.6","3.4","22.4","8.6","39.7","6.9","6.9",".",".",".",".",".",".",".",".","3.4"
"Statics","Course Total","190","2.441","11.6","5.8","23.7","7.4","37.4","6.8","4.7",".",".",".",".",".","0.5",".",".","2.1"
"","202
001","11","3.100","27.3","9.1","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","9.1"
"","202
002","20","2.500","5.0","10.0","30.0","20.0","20.0","15.0",".",".",".",".",".",".",".",".",".","."
"","003
202","19","2.711","26.3","21.1","15.8","5.3","10.5","10.5","10.5",".",".",".",".",".",".",".",".","."
"","202
004","20","2.675",".","15.0","20.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","005
202","13","3.231","46.2","7.7","7.7","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","83","2.780","18.1","13.3","20.5","22.9","15.7","6.0","2.4",".",".",".",".",".",".",".",".","1.2"
"Statics & Mech of Materials","001
214","21","3.025","14.3","14.3","42.9","9.5","14.3",".",".",".",".",".",".",".",".",".",".","4.8"
"","001
303","14","2.714","14.3","14.3","21.4","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"","002
303","19","2.947","15.8","31.6","15.8","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","303
003","18","2.528","5.6","11.1","38.9","16.7","11.1","11.1","5.6",".",".",".",".",".",".",".",".","."
"","303
004","22","2.932","22.7","9.1","31.8","13.6","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","73","2.795","15.1","16.4","27.4","16.4","16.4","5.5","2.7",".",".",".",".",".",".",".",".","."
"","304
001","6","2.600",".",".","50.0",".","33.3",".",".","16.7",".",".",".",".",".",".",".","."
"","304
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","8","2.813",".","12.5","75.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","304
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","18","2.735",".","5.6","61.1","11.1","11.1","5.6",".","5.6",".",".",".",".",".",".",".","."
"","001
307","7","3.000","14.3",".","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","10","3.250","20.0","20.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","6","2.917","16.7",".","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
006","11","2.909","9.1","18.2","45.5",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"","307
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
307","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","53","3.160","22.6","11.3","49.1","9.4","7.5",".",".",".",".",".",".",".",".",".",".","."
"Matrl-Constructd Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","21","3.286","23.8","33.3","28.6","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","14","3.308","28.6","14.3","35.7","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanical Vibrations","001
545","18","3.412","33.3","33.3","11.1","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","569
001","12","3.042","16.7","16.7","41.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","569
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","15","3.000","13.3","20.0","40.0","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"","601
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","12","3.700","66.7",".",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
