"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103
001","9","3.833","55.6",".","11.1",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","105","2.668","11.4","21.9","17.1","21.0","7.6","15.2","1.9","2.9",".",".",".",".",".",".",".","1.0"
"Folklore of Wisconsin","320
001","45","3.512","37.8","20.0","35.6",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Rom Culture-Russia & E Eur","370
001","21","3.050","14.3","14.3","57.1","4.8",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","8","3.000","25.0","25.0",".",".","12.5","12.5",".","12.5",".",".",".",".",".","12.5",".","."
"African Poetry","411
001","21","2.750","19.0","28.6","19.0","9.5",".","4.8","14.3","4.8",".",".",".",".",".",".",".","."
"Supernaturl in Modern World","001
451","48","3.283","31.3","25.0","14.6","16.7","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"Folklore Theory","510
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Material Culture Analysis","512
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","19","3.833","73.7","10.5","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","530
002","16","3.547","43.8","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".","6.3",".","6.3"
"Topics in Folklore","Course Total","35","3.706","60.0","14.3","14.3",".","2.9",".",".","2.9",".",".",".",".",".","2.9",".","2.9"
"Comparative World Costume","655
001","15","3.000","13.3","33.3","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Ethnomusicology","915
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","334","3.146","30.5","20.4","20.7","10.8","4.5","5.7","1.8","4.5",".",".",".",".",".","0.6",".","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","1.833",".",".",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".","."
"Sophomore","","20","2.472","10.0","10.0","10.0","35.0","10.0","10.0","5.0","5.0",".",".",".",".",".",".",".","5.0"
"Junior","","104","2.976","25.0","19.2","22.1","13.5","3.8","8.7","2.9","2.9",".",".",".",".",".","1.9",".","."
"Senior","","179","3.211","27.4","24.6","24.6","7.8","4.5","3.9","1.1","5.6",".",".",".",".",".",".",".","0.6"
"Undergraduates","","306","3.070","25.2","21.6","22.5","11.8","4.9","6.2","2.0","4.6",".",".",".",".",".","0.7",".","0.7"
"Special","","7","3.824","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Graduate","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","334","3.146","30.5","20.4","20.7","10.8","4.5","5.7","1.8","4.5",".",".",".",".",".","0.6",".","0.6"
