"","990
020","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
077","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","3478","2.815","16.3","16.3","22.0","18.3","16.5","4.1","2.1","3.5","0.1","0.1","",".","0.0","0.0","0.2","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","712","2.670","10.0","13.6","21.8","23.6","24.6","4.8","1.0",".",".",".","",".",".",".",".",".","0.7"
"Sophomore","","1012","2.797","15.6","16.3","21.1","22.2","17.8","3.5","2.7","0.1",".","0.1","",".",".",".","0.4",".","0.2"
"Junior","","694","2.720","13.3","17.9","21.3","18.9","16.6","6.6","3.0","1.3","0.1",".","",".",".",".","0.4",".","0.6"
"Senior","","679","2.923","20.5","17.2","25.3","13.7","13.5","4.0","2.4","2.7","0.3","0.3","",".",".",".",".",".","0.1"
"Undergraduates","","3097","2.776","14.9","16.2","22.2","19.9","18.1","4.6","2.3","0.9","0.1","0.1","",".",".",".","0.2",".","0.4"
"Special","","28","3.123","21.4","10.7","32.1","10.7","10.7",".",".","10.7",".",".","",".",".",".",".","3.6","."
"Graduate","","349","3.407","28.9","17.5","18.6","4.3","2.6",".","0.3","26.4","0.3",".","",".","0.3","0.3","0.3","0.3","."
"Prof Yr 1","","3","3.167","33.3",".","33.3","33.3",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","0.000",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".",".","."
"Professionals","","4","2.375","25.0",".","25.0","25.0",".",".","25.0",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3478","2.815","16.3","16.3","22.0","18.3","16.5","4.1","2.1","3.5","0.1","0.1","",".","0.0","0.0","0.2","0.1","0.3"
