"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Junior","53","3.033","37.7","15.1","18.9","5.7","11.3","7.5","3.8",".",".",".","",".",".","",".",".",".","."
"Senior","209","3.203","43.1","12.4","23.0","8.1","7.7","3.8","1.9",".",".",".","",".",".","",".",".",".","."
"Undergraduates","263","3.169","42.2","12.9","22.1","7.6","8.4","4.6","2.3",".",".",".","",".",".","",".",".",".","."
"Special","3","3.571","33.3","66.7",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Graduate","138","3.796","37.7","2.9","3.6",".",".",".",".","48.6","0.7",".","",".","6.5","",".",".",".","."
"Prof Yr 2","4","4.000","25.0",".",".",".",".",".",".","75.0",".",".","",".",".","",".",".",".","."
"Professionals","4","4.000","25.0",".",".",".",".",".",".","75.0",".",".","",".",".","",".",".",".","."
