"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","",""
"503
Human Biochemistry","001","","166","3.030","33.7","13.3","25.3","8.4","9.0","6.6","3.6",".",".",".",".",".",".",".",".","."
"504","001","","54","3.500","46.3","20.4","25.9","1.9","5.6",".",".",".",".",".",".",".",".",".",".","."
"504","002","","39","3.385","56.4","7.7","10.3","12.8","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Human Biochemistry Lab","Course Total","","93","3.452","50.5","15.1","19.4","6.5","7.5","1.1",".",".",".",".",".",".",".",".",".","."
"675
Adv/Spec Topics:Biomol Chem","001","","11","3.913","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Biomolecular Parasitology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomoleclr Chem Journl Club","Course Total","","22","4.000","90.9",".",".",".",".",".",".","4.5",".",".",".","4.5",".",".",".","."
"901
Biomolecular Chem Seminar","001","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","9","",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","10","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Biomoleclr Chem & Rsrch","Course Total","","55","3.829","41.8","3.6","1.8",".",".",".",".","38.2",".",".",".","14.5",".",".",".","."
