"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","111","3.107","16.2","10.8","57.7","8.1","5.4","0.9",".","0.9",".",".",".",".",".",".",".","."
"","300
002","247","3.069","19.0","10.9","50.6","6.1","11.7","0.8","0.4",".",".",".",".",".",".",".","0.4","."
"","003
300","38","3.079","28.9","18.4","23.7","7.9","18.4",".","2.6",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","396","3.081","19.2","11.6","50.0","6.8","10.6","0.8","0.5","0.3",".",".",".",".",".",".","0.3","."
"Finc Mrkts,Instns&Econ Actv","305
001","55","3.000","12.7","18.2","38.2","18.2","9.1","1.8",".",".",".",".",".",".",".","1.8",".","."
"","320
001","60","3.051","15.0","18.3","40.0","15.0","8.3","1.7",".","1.7",".",".",".",".",".",".",".","."
"","320
002","72","3.101","23.6","16.7","29.2","13.9","11.1",".","1.4","2.8",".",".",".",".",".",".","1.4","."
"Investments","Course Total","132","3.078","19.7","17.4","34.1","14.4","9.8","0.8","0.8","2.3",".",".",".",".",".",".","0.8","."
"","001
325","43","3.070","20.9","18.6","23.3","27.9","9.3",".",".",".",".",".",".",".",".",".",".","."
"","325
002","46","3.250","30.4","26.1","19.6","10.9","13.0",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","89","3.163","25.8","22.5","21.3","19.1","11.2",".",".",".",".",".",".",".",".",".",".","."
"","399
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","58","3.088","15.5","19.0","37.9","19.0","6.9",".",".","1.7",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","62","3.075","19.4","24.2","27.4","17.7","9.7",".","1.6",".",".",".",".",".",".",".",".","."
"","630
001","45","3.321","31.1","26.7","22.2","6.7","4.4",".","2.2","2.2",".",".",".",".",".","2.2","2.2","."
"","630
002","52","3.382","30.8","32.7","21.2","7.7","5.8",".",".","1.9",".",".",".",".",".",".",".","."
"Options & Financial Futures","Course Total","97","3.355","30.9","29.9","21.6","7.2","5.2",".","1.0","2.1",".",".",".",".",".","1.0","1.0","."
"","635
001","32","3.109","15.6","15.6","46.9","18.8","3.1",".",".",".",".",".",".",".",".",".",".","."
"","635
002","32","3.328","28.1","18.8","43.8","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"","635
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Analysis","Course Total","67","3.239","22.4","19.4","43.3","13.4","1.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","001
700","79","3.520","34.2","31.6","27.8","1.3",".",".",".","1.3",".",".",".",".",".",".","3.8","."
"Financial Market&Bus Condtn","705
001","22","3.545","31.8","45.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
002","30","3.433","43.3","13.3","33.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","23","3.457","34.8","21.7","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Invest Mgt-Finan Institutns","740
001","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","26","3.442","46.2","15.4","19.2","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","17","3.441","29.4","41.2","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","28","3.661","57.1","25.0","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","799
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
130","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","11","3.850","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
