"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
001","102","2.931","17.6","15.7","30.4","17.6","14.7","2.9","1.0",".",".",".",".",".",".",".",".","."
"","350
002","87","2.879","11.5","13.8","39.1","12.6","21.8","1.1",".",".",".",".",".",".",".",".",".","."
"","003
350","80","2.881","8.8","18.8","37.5","12.5","21.3","1.3",".",".",".",".",".",".",".",".",".","."
"","350
005","146","3.079","8.9","21.2","49.3","17.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","415","2.963","11.6","17.8","40.2","15.7","13.3","1.2","0.2",".",".",".",".",".",".",".",".","."
"Principles & Tech-Qual Mgmt","351
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
109","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","8","3.920","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","411
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Facilities Location Models","578
001","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","32","3.328","31.3","21.9","28.1","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
730","12","3.333","33.3","25.0","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","44","3.330","31.8","22.7","25.0","20.5",".",".",".",".",".",".",".",".",".",".",".","."
"","750
001","26","3.827","80.8","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","750
002","27","3.741","63.0","25.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","53","3.783","71.7","17.0","7.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
001","40","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
002","37","3.878","75.7","24.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Management","Course Total","77","3.877","75.3","24.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
037","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
058","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
076","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plan-Qual/New Servc&Prodct","001
860","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
