"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"699","114","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","122","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","3.677","70.6","11.8","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"700
Intro-Composition Studies","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Rsch Meths-Compositn Study","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"708
Advanced English Syntax","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"709
Adv Eng Phonology","001","","10","3.200","10.0","50.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"710
Discourse Analysis","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Rsch on English as 2nd Lang","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Literary Theory","001","","21","4.000","90.5",".",".",".",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"760
Literature of the 16th Cent","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"772
English Lit, 1745-1798","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"778
Seminar-Renaissance Lit","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"802
Victorian Poetry:Mod&Value","001","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"813
American Realism","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
20th Century British Lit","001","","17","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"901
Smr-Struc of Written Commun","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"905
Smr-Appld English Linguistc","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Seminar-American Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Seminar:Topics-Medieval Lit","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"976
Smr: Topics-20th C Amer Lit","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 199 of 374",""
