"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"544
Surgery Fundamentals","001","","84","3.738","51.2","45.2","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Fundmntls-Anesthesiology I","001","","84","3.518","36.9","32.1","29.8",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"546
Fundmntls-Anesthesiology II","001","","73","3.103","6.8","31.5","42.5","13.7","5.5",".",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","72","2.896","9.7","12.5","41.7","22.2","12.5","1.4",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","71","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Radiology","001","","73","3.130","8.2","32.9","43.8","9.6","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"642","001","","29","4.000","6.9",".",".",".",".",".",".","93.1",".",".",".",".",".",".",".","."
"642","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","31","4.000","6.5",".",".",".",".",".",".","93.5",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","31","4.000","51.6",".",".",".",".",".",".","48.4",".",".",".",".",".",".",".","."
"645","001","","36","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"645","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","38","4.000","44.7",".",".",".",".",".",".","55.3",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","35","4.000","68.6",".",".",".",".",".",".","31.4",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","18","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"675","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"675","004","","26","4.000","11.5",".",".",".",".",".",".","88.5",".",".",".",".",".",".",".","."
"675","006","","26","4.000","96.2",".",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"675","007","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","010","","55","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","164","4.000","46.3",".",".",".",".",".",".","53.7",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","72","3.465","20.8","54.2","22.2","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","33","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"744
Restrnt/Anesth Exotic Anmls","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
