"","202
002","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"The Air Force Way II","Course Total","","12","3.333","41.7","33.3","16.7",".","",".","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Air Force Leadership&Mgt II","304
001","","14","3.786","78.6",".","21.4",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Preparation-Active Duty II","402
001","","8","3.438","37.5","12.5","50.0",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","48","3.600","50.0","16.7","27.1",".","",".","",".","2.1","",".","",".",".","",".","",".","",".","2.1","2.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","2.900","16.7","50.0",".",".","",".","",".","16.7","",".","",".",".","",".","",".","",".","16.7",".","."
"Sophomore","","","14","3.594","42.9","21.4","35.7",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","16","3.803","75.0","6.3","18.8",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","11","3.468","45.5","9.1","45.5",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","47","3.600","51.1","17.0","27.7",".","",".","",".","2.1","",".","",".",".","",".","",".","",".","2.1",".","."
"Special","","","1","",".",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","100.0","."
"","Dept. Total","","48","3.600","50.0","16.7","27.1",".","",".","",".","2.1","",".","",".",".","",".","",".","",".","2.1","2.1","."
