"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","6960","3.529","47.5","15.5","19.3","2.0","3.4","0.7","0.2","7.6","0.0","2.9",".","0.3","0.2","0.0","0.1","0.2"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","24","2.871","41.7","4.2","16.7","8.3","12.5","8.3","4.2",".",".",".",".",".",".",".","4.2","."
"Sophomore","","189","2.996","30.7","10.1","31.2","3.7","18.5","4.8","0.5",".",".",".",".",".",".",".",".","0.5"
"Junior","","480","3.079","28.1","16.3","32.5","6.3","10.4","4.4","1.0",".",".","0.6",".",".",".","0.2","0.2","."
"Senior","","1259","3.342","38.7","24.2","20.9","5.8","7.1","1.4","0.5","0.2",".","1.0",".",".",".",".",".","0.2"
"Undergraduates","","1952","3.234","35.3","20.6","24.7","5.7","9.1","2.6","0.7","0.2",".","0.8",".",".",".","0.1","0.1","0.2"
"Special","","93","3.342","33.3","14.0","20.4","4.3","5.4","2.2",".","3.2",".","5.4",".",".","2.2",".","1.1","8.6"
"Graduate","","1432","3.706","44.8","17.2","9.9","0.4","0.4",".",".","16.5","0.1","8.4",".","1.5","0.8",".",".","."
"Prof Yr 1","","1258","3.703","56.3","9.7","18.1","0.4","1.7",".",".","8.6",".","4.9",".",".","0.1",".",".","0.2"
"Prof Yr 2","","1361","3.650","60.8","0.6","26.4","0.1","1.4",".",".","10.5",".","0.1",".",".",".",".",".","."
"Prof Yr 3","","725","3.564","47.9","34.1","12.8","1.0","1.1",".","0.4","2.3",".",".",".","0.1",".",".","0.1","0.1"
"Prof Yr 4","","153","3.642","43.1","24.2","11.8","1.3","1.3",".",".","17.0",".",".",".",".","0.7",".",".","0.7"
"Professionals","","3497","3.643","55.7","11.8","20.0","0.5","1.5",".","0.1","8.4",".","1.8",".","0.0","0.1",".","0.0","0.1"
"","College Total","6974","3.529","47.5","15.4","19.2","2.0","3.4","0.7","0.2","7.7","0.0","2.9",".","0.3","0.2","0.0","0.1","0.2"
