"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","117","2.812","17.1","25.6","12.8","17.1","17.9","6.0","3.4",".",".",".",".",".",".",".",".","."
"","100","002","118","2.539","14.4","8.5","29.7","0.8","30.5","10.2","4.2","1.7",".",".",".",".",".",".",".","."
"General Geology","","Course Total","235","2.676","15.7","17.0","21.3","8.9","24.3","8.1","3.8","0.9",".",".",".",".",".",".",".","."
"General Geology","101","001","98","2.635","16.3","8.2","20.4","14.3","29.6","8.2","1.0","1.0",".",".",".",".",".",".",".","1.0"
"","102","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","","Course Total","14","2.214","7.1",".","28.6","14.3","28.6","14.3","7.1",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","22","2.682","18.2","22.7","13.6","13.6","18.2","4.5","9.1",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","82","3.068","25.6","11.0","36.6","7.3","15.9","2.4",".",".",".",".",".",".",".","1.2",".","."
"Life of the Past","107","001","44","3.023","40.9","6.8","22.7","6.8","13.6","2.3","6.8",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","174","2.500","14.4","4.0","30.5","6.9","27.0","14.4","2.3",".",".",".",".",".",".","0.6",".","."
"Geologic Evolution of Earth","201","001","44","2.466","4.5","13.6","22.7","11.4","36.4","11.4",".",".",".",".",".",".",".",".",".","."
"","290","001","20","3.375","30.0","30.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","290","002","19","3.132","31.6","10.5","21.1","26.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Continentl Drift&Global Chg","","Course Total","39","3.256","30.8","20.5","23.1","20.5","5.1",".",".",".",".",".",".",".",".",".",".","."
"","306","001","255","3.097","22.0","23.9","14.1","25.9","7.8","0.4","0.8","4.7","0.4",".",".",".",".",".",".","."
"","306","002","27","3.273","37.0","25.9","3.7","22.2","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"","306","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gems and Precious Stones","","Course Total","286","3.125","24.1","23.8","12.9","25.2","7.7","0.3","0.7","4.5","0.3",".",".",".","0.3",".",".","."
"Landforms-Topics & Regions","326","001","21","3.143","23.8","14.3","38.1","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","32","2.938","21.9","18.8","28.1",".","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","376","001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","","Course Total","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Minerals - A Public Problem","410","001","15","3.367","33.3","33.3","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","14","3.214","42.9","14.3","7.1","14.3","21.4",".",".",".",".",".",".",".",".",".",".","."
"Principles of Stratigraphy","430","001","29","3.065","13.8","10.3","27.6","27.6",".",".",".","20.7",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","21","3.357","28.6","33.3","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"Resources From Space","533","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolution of Vertebrates","544","001","30","3.300","36.7","23.3","16.7","10.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","22","3.273","27.3","18.2","40.9","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Physical Sedimentology","630","001","12","3.588","41.7","33.3","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
