"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","104","001","462","2.667","12.8","13.2","26.4","18.4","17.7","7.6","3.5","0.2",".",".",".",".",".",".",".","0.2"
"","104","092","49","2.765","22.4","8.2","24.5","18.4","14.3","10.2","2.0",".",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","511","2.677","13.7","12.7","26.2","18.4","17.4","7.8","3.3","0.2",".",".",".",".",".",".",".","0.2"
"","106","001","160","2.991","8.8","23.1","39.4","20.0","5.6","1.9","0.6",".",".",".",".",".",".","0.6",".","."
"","106","002","163","3.190","17.2","43.6","22.1","9.2","3.7","1.2","3.1",".",".",".",".",".",".",".",".","."
"","106","003","19","3.079","26.3","15.8","26.3","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","","Course Total","342","3.091","13.7","32.5","30.4","14.9","4.7","1.8","1.8",".",".",".",".",".",".","0.3",".","."
"Intro to American Politics","184","001","15","3.467","40.0","26.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","199","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","014","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","032","9","3.222","22.2","33.3","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","209","001","128","3.198","16.4","26.6","38.3","14.1","3.1",".",".","0.8",".",".",".",".",".",".",".","0.8"
"","209","092","35","3.143","20.0","20.0","40.0","14.3","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","","Course Total","163","3.186","17.2","25.2","38.7","14.1","3.1","0.6",".","0.6",".",".",".",".",".",".",".","0.6"
"Understndng Politcl Numbers","218","001","66","2.862","13.6","19.7","33.3","13.6","10.6","3.0","4.5",".",".",".",".",".","1.5",".",".","."
"Intro to East Asian Civ","222","001","17","3.667","35.3","47.1","5.9",".",".",".",".",".",".",".",".",".",".","11.8",".","."
"Bascom Course","236","001","17","3.563","23.5","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"SE Asia:Vietnam to Philipns","244","001","12","3.318","8.3","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Russia: An Interdis Survey","253","001","30","3.169","16.7","30.0","40.0","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","49","2.844","40.8","8.2","16.3","2.0","12.2","8.2","10.2","2.0",".",".",".",".",".",".",".","."
"Intro to Political Psych","267","001","46","3.182","10.9","21.7","54.3","8.7",".",".",".",".",".",".",".",".","2.2",".","2.2","."
"","275","001","104","3.183","12.5","50.0","21.2","7.7","4.8","1.0","2.9",".",".",".",".",".",".",".",".","."
"","275","092","36","3.431","30.6","36.1","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","","Course Total","140","3.246","17.1","46.4","22.9","5.7","5.0","0.7","2.1",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","31","3.225","29.0","32.3","16.1","16.1","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"Bargaining in Global Econmy","313","001","15","3.391","20.0","33.3","40.0",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Interntl Politics-Mid East","333","001","56","2.938","16.1","14.3","30.4","26.8","10.7",".","1.8",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","34","3.269","35.3","32.4","20.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"SE Asian Intrnatl Relations","339","001","23","3.177","13.0","43.5","30.4",".","4.3",".","4.3",".",".",".",".",".",".","4.3",".","."
"Japan and the World Order","342","001","51","3.081","11.8","31.4","35.3","15.7","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"China in World Politics","346","001","42","3.436","31.0","26.2","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Wrld in Internatl Sys","353","001","22","3.238","18.2","36.4","27.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","64","3.341","40.6","26.6","12.5","9.4","6.3",".","3.1",".",".",".",".",".",".","1.6",".","."
"International Relations","375","001","168","3.153","10.7","33.9","38.1","8.3","6.5",".","0.6","1.8",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","401","020","18","3.681","50.0","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","139","2.861","12.2","20.9","30.9","12.2","16.5","3.6","2.2","1.4",".",".",".",".",".",".",".","."
"The American Presidency","408","001","92","3.050","12.0","19.6","41.3","16.3","8.7",".",".","1.1",".",".",".",".",".",".","1.1","."
"American Judicial System","417","001","42","3.166","14.3","35.7","26.2","16.7","2.4","2.4",".","2.4",".",".",".",".",".",".",".","."
"Legislative Process","426","001","52","2.941","7.7","23.1","26.9","30.8","3.8",".","1.9","1.9",".",".",".",".",".","1.9","1.9","."
"Legislative Internship","427","001","21","3.452","19.0","57.1","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 265 of 374",""
