"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","10","3.000","30.0","10.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","002
100","","15","3.567","53.3","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","","19","3.711","63.2","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","8","3.375","50.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","100
006","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","73","3.493","46.6","24.7","20.5","5.5",".","1.4","1.4",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","19","3.105","42.1","21.1","5.3",".","21.1","10.5",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reporting","204
001","","14","3.214","21.4","28.6","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","18","3.361","44.4","22.2","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","002
212","","12","3.250","16.7","50.0","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","003
212","","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","","18","2.667","11.1","16.7","38.9","16.7",".","5.6","11.1",".",".",".",".",".",".",".",".","."
"Intro-Scientifc Communicatn","Course Total","","60","3.150","26.7","26.7","31.7","6.7",".","3.3","5.0",".",".",".",".",".",".",".",".","."
"Informational Photography","260
001","","14","3.462","35.7","42.9","7.1",".",".","7.1",".",".",".",".",".",".","7.1",".",".","."
"","299
012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","035
299","","7","3.286","42.9",".","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","299
112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","3.875","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","21","3.238","42.9","9.5","23.8","19.0",".",".","4.8",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
375","","24","3.891","79.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","375
002","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","375
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","35","3.848","74.3","11.4","8.6",".",".",".",".",".",".",".",".",".",".","2.9",".","2.9"
"","399
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Agricultural Advertising","001
431","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","001
505","","11","3.227","18.2","45.5","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","10","3.556","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
