"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transp & Business Logistics","640
001","","18","3.361","33.3","16.7","44.4",".","5.6",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Logistics Strategies","646
002","","18","3.639","38.9","50.0","11.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"TRAN P U
243","Dept. Total","","36","3.500","36.1","33.3","27.8",".","2.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","3","3.000","33.3",".","33.3",".","33.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","11","3.364","18.2","36.4","45.5",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","16","3.250","18.8","25.0","50.0",".","6.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","20","3.700","50.0","40.0","10.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","36","3.500","36.1","33.3","27.8",".","2.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
