"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Stage Lighting I","366
001","","11","3.103","18.2","27.3","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
376","","17","3.529","52.9","35.3","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","30","3.667","63.3","26.7","6.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","412
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","422
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
448","","12","3.773","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","79","3.913","87.3","10.1","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Figure Painting","452
001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Intermediate Photography","476
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Artist's Video","518
001","","11","3.300","36.4","9.1","27.3","9.1","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Advanced Painting I","522
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","534
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","534
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","Course Total","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","","17","3.354","47.1","23.5","5.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556
001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608
002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing II","612
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture II","614
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","622
001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 73 of 374"
