"","004
812","","32","3.859","71.9","28.1",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Third Year Psychiatry","Course Total","","70","3.906","81.4","15.7","1.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.4"
"Indep Rdg & Rsch-4th Yr Med","910
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Child Psych Clerk-Mendota","924
001","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PSYCHIAT
814","Dept. Total","","79","3.912","83.5","13.9","1.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.3"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","6","3.889","83.3","16.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","66","3.908","81.8","15.2","1.5",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.5"
"Prof Yr 4","","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","74","3.909","82.4","14.9","1.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.4"
"","Dept. Total","","79","3.912","83.5","13.9","1.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.3"
