"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (L & S)","Section","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing Biology","151
001","","60","",".",".",".",".","",".",".","",".",".","",".","","96.7","3.3",".","",".","",".",".","."
"Windows on the World","220
001","","13","3.269","38.5","23.1","30.8",".","",".",".","","7.7",".","",".","",".",".",".","",".","",".",".","."
"European Studies Seminar","594
001","","6","3.833","66.7","33.3",".",".","",".",".","",".",".","",".","",".",".",".","",".","",".",".","."
"INTER-LS
502","Dept. Total","","79","3.447","11.4","6.3","5.1",".","",".","",".","1.3","",".","",".","73.4","2.5","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","24","2.167",".","4.2","4.2",".","",".","",".","4.2","",".","",".","83.3","4.2","",".","",".",".",".","."
"Sophomore","","","38","4.000","2.6",".",".",".","",".","",".",".","",".","",".","94.7","2.6","",".","",".",".",".","."
"Junior","","","7","3.600","28.6","28.6","14.3",".","",".","",".",".","",".","",".","28.6",".","",".","",".",".",".","."
"Senior","","","10","3.700","60.0","20.0","20.0",".","",".","",".",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","","79","3.447","11.4","6.3","5.1",".","",".","",".","1.3","",".","",".","73.4","2.5","",".","",".",".",".","."
"","Dept. Total","","79","3.447","11.4","6.3","5.1",".","",".","",".","1.3","",".","",".","73.4","2.5","",".","",".",".",".","."
