"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","329
001","9","3.056","11.1","33.3","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","329
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","Course Total","11","3.136","18.2","27.3","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Legal Writing-Foreign Stdts","603
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","713
001","60","3.550","43.3","25.0","30.0","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","713
002","25","3.700","56.0","28.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Process","Course Total","85","3.594","47.1","25.9","25.9","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","55","3.455","32.7","27.3","38.2","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","21","3.333","19.0","38.1","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
723","22","3.295","18.2","36.4","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","003
723","22","3.273","18.2","36.4","40.9",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","723
004","21","3.381","19.0","38.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","22","3.386","22.7","36.4","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","006
723","19","3.395","26.3","31.6","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","19","3.368","21.1","36.8","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","21","3.381","28.6","23.8","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","19","3.263","21.1","31.6","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","723
010","18","3.111","11.1","33.3","50.0",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","723
011","20","3.350","25.0","35.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","012
723","21","3.286","14.3","47.6","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","723
013","22","3.386","9.1","59.1","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","267","3.326","19.5","37.5","37.1","3.7","1.1","0.7","0.4",".",".",".",".",".",".",".",".","."
"","724
001","68","3.441","35.3","19.1","44.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","724
002","69","3.500","42.0","23.2","29.0","4.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"","724
003","70","3.607","51.4","18.6","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","724
004","65","3.415","27.7","35.4","32.3","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","272","3.493","39.3","23.9","33.8","1.8","0.7","0.4",".",".",".",".",".",".",".",".",".","."
"","001
725","68","3.441","35.3","19.1","44.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","65","3.462","38.5","15.4","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
003","66","3.561","45.5","25.8","25.8","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"","725
004","67","3.575","38.8","37.3","23.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","266","3.509","39.5","24.4","35.0","0.8",".","0.4",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
001","35","3.379","34.3","14.3","28.6","2.9",".",".","2.9","14.3",".",".",".",".",".",".",".","2.9"
"","002
731","90","3.456","33.3","24.4","42.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","125","3.437","33.6","21.6","38.4","0.8",".",".","0.8","4.0",".",".",".",".",".",".",".","0.8"
"Trusts and Estates","733
001","107","3.365","41.1","11.2","19.6","0.9","1.9","7.5","0.9","16.8",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","36","3.548","36.1","27.8","19.4",".","2.8",".",".","13.9",".",".",".",".",".",".",".","."
"","740
001","52","3.528","34.6","15.4","15.4",".","1.9","1.9",".","30.8",".",".",".",".",".",".",".","."
"","740
002","38","3.389","39.5","21.1","28.9",".",".","2.6","2.6","5.3",".",".",".",".",".",".",".","."
"","740
003","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","98","3.494","39.8","17.3","20.4",".","1.0","2.0","1.0","18.4",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","32","3.714","40.6","12.5","12.5",".",".",".",".","34.4",".",".",".",".",".",".",".","."
"Taxation I","742
001","103","3.596","37.9","14.6","23.3",".",".",".",".","24.3",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 310 of 374",""
