"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"431
001
Young Adult Lit for Schools","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"444
001
Stdt Tchg English-2nd Lang","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"446
001
Stdt Teach-Sec Schl French","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"447
001
Stdt Teach-Sec Schl German","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"456
001
Stdt Teach-Sec Schl Spanish","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"457
001
Stdt Tchg-Health Education","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"458
001
Stdt Tch-His&Soc St Mid Sch","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"459
001
Stdt Tchg Hist&Soc St in HS","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"463
001
Seminar:K-Mid Schl Teaching","","64","3.937","89.1","6.3","3.1",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"464
001","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
003","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg in Elem School","","67","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg-Kindergarten","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"466
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","5","***","","","","","","","","","","","","","","","",""
"467
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"467
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"472
001
Stdt Teaching Engl-Mid Schl","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"478
001
Elem Sch Phy Ed Stdt Tchg","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"479
001
Secondary-Phys Ed Stdt Tchg","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"492
001
Student Teaching-Com Dis","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"494
001
Student Teaching in HS Math","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"496
001
Stdt Teaching-English in HS","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"497
001
Stdt Teach-Middle Schl Math","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498
002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Middle School","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"501
001
Health Info for Teachers","","81","3.864","75.3","22.2","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"504
001
Remedial Reading","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"001
506","","62","3.967","91.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","1.6"
"506
002","","69","3.831","75.4","15.9","4.3","2.9",".",".",".",".",".",".",".",".","1.4",".",".","."
"Course Total
Strategy-Inclusive Schoolng","","131","3.895","83.2","11.5","2.3","1.5",".",".",".",".",".",".",".",".","0.8",".",".","0.8"
"541
001
Org&Adm-School Hlth Progms","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
001
Teacher Ed-Alcohol & Drugs","","28","3.875","78.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"559
001
Adv Pract-Teach Soc Studies","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 85 of 374"
