"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"570
Animal Hlth Hist Restraint","001","","82","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"622
Veterinary Medicine II","001","","73","2.952","8.2","9.6","58.9","11.0","12.3",".",".",".",".",".",".",".",".",".",".","."
"625
Vet Diag&Therapeut Techniq","001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","28","4.000","17.9",".",".",".",".",".",".","82.1",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","22","4.000","31.8",".",".",".",".",".",".","68.2",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","32","4.000","28.1",".",".",".",".",".",".","71.9",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","59","4.000","1.7",".",".",".",".",".",".","98.3",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","19","4.000","10.5",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","56","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"675","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","006","","12","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"675","007","","14","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"675","008","","43","4.000","2.3",".",".",".",".",".",".","97.7",".",".",".",".",".",".",".","."
"675","009","","28","",".",".",".",".",".",".",".","96.4",".",".",".",".",".",".",".","3.6"
"675","011","","19","4.000","31.6",".",".",".",".",".",".","68.4",".",".",".",".",".",".",".","."
"675","012","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","013","","81","3.309","9.9","48.1","35.8","6.2",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","227","3.472","12.3","17.2","12.8","2.2",".",".",".","55.1",".",".",".",".",".",".",".","0.4"
"676
Sr Rotation:Swine Medicine","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Exotic Animal Medicine","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"678","001","","37","4.000","81.1",".",".",".",".",".",".","18.9",".",".",".",".",".",".",".","."
"678","101","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","44","4.000","84.1",".",".",".",".",".",".","15.9",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","29","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.909","69.2",".","7.7",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"703
Production Medicine II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"707
Production Medicine IV","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
