"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"100","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"100","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","16","3.531","43.8","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","17","3.176","17.6","17.6","52.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"212","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"212","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Scientifc Communicatn","Course Total","","3","***","","","","","","","","","","","","","","","",""
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"330
Family & Consumer Features","001","","15","3.233","26.7","13.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"360
Information Radio","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"501","001","","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","26","3.596","38.5","42.3","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Publications Editing","001","","8","2.875","12.5","37.5",".","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"515
Pub Info Campaigns & Progms","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Print&Electronic Media Dsgn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","015","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"601","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"616
Mass Media and Youth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","118","3.375","27.1","28.8","28.8","3.4","5.1",".",".",".",".","6.8",".",".",".",".",".","."
