"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","2","***","","","","","","","","","","","","","","","",""
"721","001","","10","3.680","40.0","40.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0"
"721","002","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Topics-Human Cancer Biology","Course Total","","23","3.680","17.4","17.4",".",".","4.3",".",".","56.5",".",".",".",".",".",".",".","4.3"
"770
Sems in Human Cancer Biol","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"820
Human Oncology Selective","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Radiation Oncology-CSC","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980
Colloq in Human Cancer Biol","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","19","4.000","57.9",".",".",".",".",".",".","31.6",".",".",".","10.5",".",".",".","."
