"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","368
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","","68","3.934","92.6","4.4","1.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","21","3.905","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","25","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
003","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","","69","3.928","91.3","4.3","2.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","25","3.700","44.0","52.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","","88","3.750","53.4","43.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","26","3.750","65.4","19.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
371","","21","3.762","76.2","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","","70","3.836","80.0","10.0","7.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","23","3.674","43.5","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","25","3.900","88.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
372","","21","3.690","61.9","14.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","","69","3.761","65.2","21.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","","69","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","001
375","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
375","","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","25","3.829","88.0",".",".",".","4.0",".","4.0",".",".",".",".",".","4.0",".",".","."
"","375
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","71","3.847","81.7","11.3","2.8",".","1.4",".","1.4",".",".",".",".",".","1.4",".",".","."
"Teach Secondry Schl Math II","394
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","28","3.923","82.1","7.1","3.6",".",".",".",".","3.6",".",".",".",".",".",".",".","3.6"
"","399
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.643","70.0","10.0",".",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Student Teaching-Japanese","408
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Child Lit-Elem & Middl","422
001","","65","3.887","87.7","3.1","3.1",".",".",".","1.5",".",".",".",".",".","1.5","1.5",".","1.5"
"Stdt Tchg-Elem School Art","423
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 84 of 374"
