"","999
092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Study & Research","Course Total","10","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"COMP SCI
266","Dept. Total","3952","3.130","27.7","18.3","17.8","8.9","8.1","3.1","2.9","1.4","0.0","8.8","1.6","0.1","0.1","0.4","0.1","0.7"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","530","2.945","16.6","16.8","19.1","7.0","5.7","3.8","5.7",".",".","20.2","3.4",".","0.4","0.6",".","0.9"
"Sophomore","","1076","3.093","23.5","17.4","18.3","9.3","9.6","3.2","2.7","0.2",".","13.4","1.5",".","0.1","0.4",".","0.6"
"Junior","","727","2.989","22.3","18.7","19.1","12.7","10.3","5.4","2.8","0.4",".","5.2","2.6",".",".","0.1",".","0.4"
"Senior","","880","3.025","23.1","18.5","21.4","11.6","11.3","3.1","2.5","2.2","0.1","4.7","0.6",".",".","0.2","0.1","0.8"
"Undergraduates","","3213","3.027","22.0","17.9","19.5","10.3","9.6","3.7","3.1","0.7","0.0","10.3","1.8",".","0.1","0.3","0.0","0.7"
"Special","","99","2.885","29.3","14.1","14.1","10.1","4.0","3.0","11.1","1.0",".","4.0","2.0",".","1.0","1.0",".","5.1"
"Graduate","","639","3.705","56.3","21.0","10.0","1.9","1.3","0.2","0.5","5.0",".","2.2","0.3","0.5",".","0.5","0.3","0.2"
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Dept. Total","3952","3.130","27.7","18.3","17.8","8.9","8.1","3.1","2.9","1.4","0.0","8.8","1.6","0.1","0.1","0.4","0.1","0.7"
