"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","",""
"Topics in Jewish Studies","202
001","32","3.019","3.1","28.1","28.1","12.5","9.4",".",".","18.8",".","",".",".","",".","",".","",".",".","."
"Represnt-Jew in E Eurpn Cul","229
001","15","3.600","53.3","13.3","33.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Prophets of the Bible","231
001","36","3.083","22.2","30.6","22.2","8.3","11.1","2.8","2.8",".",".","",".",".","",".","",".","",".",".","."
"Yiddish Lit-US (in Transl)","279
001","55","3.445","16.4","56.4","27.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Zionism:Thought, Cultr, Lit","356
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Jewish Cultural History","369
001","99","3.080","17.2","23.2","18.2","17.2","12.1",".","1.0","9.1",".","",".",".","",".","",".","","1.0","1.0","."
"Survey of Modern Hebrew Lit","402
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Germn-Jewsh Cltr Since 18c","510
001","8","3.348","12.5","50.0","12.5","12.5",".",".",".",".",".","",".",".","",".","",".","",".","12.5","."
"Directed Study","699
005","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"JEWISH
510","Dept. Total","261","3.237","21.8","31.8","21.5","9.6","7.3","0.4","0.8","5.7","",".",".","",".","",".","",".","0.4","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.192","15.4","30.8","42.3",".","11.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","70","3.280","25.7","34.3","21.4","11.4","5.7",".","1.4",".","",".",".","",".","",".","",".",".",".","."
"Junior","","54","3.296","20.4","37.0","16.7","9.3","7.4",".",".","7.4","",".",".","",".","",".","",".",".","1.9","."
"Senior","","107","3.189","20.6","29.0","19.6","10.3","6.5","0.9","0.9","10.3","",".",".","",".","",".","",".","0.9","0.9","."
"Undergraduates","","257","3.238","21.4","32.3","21.8","9.3","7.0","0.4","0.8","5.8","",".",".","",".","",".","",".","0.4","0.8","."
"Special","","4","3.192","50.0",".",".","25.0","25.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","261","3.237","21.8","31.8","21.5","9.6","7.3","0.4","0.8","5.7","",".",".","",".","",".","",".","0.4","0.8","."
