"ALS","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
Dept. Total
362","251","3.343","21.5","13.9","15.9","7.2","4.4","0.8","0.4","25.9","",".",".","",".","7.6","",".","0.8","0.4","1.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","15","2.591","13.3","20.0",".","20.0","26.7","6.7",".",".","",".",".","",".",".","",".","6.7",".","6.7"
"Junior","22","3.048","22.7","13.6","40.9","4.5","9.1","4.5",".",".","",".",".","",".",".","",".",".",".","4.5"
"Senior","78","3.228","20.5","26.9","30.8","14.1","3.8",".",".","3.8","",".",".","",".",".","",".",".",".","."
"Undergraduates","115","3.091","20.0","23.5","28.7","13.0","7.8","1.7",".","2.6","",".",".","",".",".","",".","0.9",".","1.7"
"Special","22","3.346","18.2","22.7","13.6","9.1",".",".","4.5","22.7","",".",".","",".",".","",".","4.5",".","4.5"
"Graduate","114","3.709","23.7","2.6","3.5","0.9","1.8",".",".","50.0","",".",".","",".","16.7","",".",".","0.9","."
"Dept. Total","251","3.343","21.5","13.9","15.9","7.2","4.4","0.8","0.4","25.9","",".",".","",".","7.6","",".","0.8","0.4","1.2"
