"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"612","001","","20","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"612","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Communicatn Studies","Course Total","","24","3.396","29.2","29.2","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","29","3.661","58.6","17.2","17.2",".","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"613","002","","8","3.700","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","37","3.670","56.8","21.6","16.2",".","2.7",".",".",".",".",".",".",".",".","2.7",".","."
"614","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"616
Mass Media and Youth","001","","30","3.483","33.3","40.0","13.3","6.7","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"651
Adv Video Productn&Directn","001","","20","3.525","40.0","35.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"656
Adv Motion Picture Productn","001","","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"658
Writing for Tv & Film","001","","15","3.633","26.7","73.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"659
Adv Motion Pic Prod Wkshp","001","","15","3.633","26.7","73.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Classical Film Theory","001","","40","2.974","20.0","20.0","10.0","30.0","12.5","2.5",".",".",".",".",".",".",".","2.5",".","2.5"
"681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","3.949","91.4","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Film Colloquium","001","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"903
Telecommunicatns Colloquium","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"904
Communicatn Studies Colloq","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 178 of 374",""
