"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","310
002","97","2.098","4.1","4.1","7.2","25.8","39.2","14.4","5.2",".",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","201","2.316","9.0","8.0","10.0","24.4","32.3","12.4","4.0",".",".",".",".",".",".",".",".","."
"","352
001","40","2.613","12.5","17.5","32.5","10.0","10.0","7.5","10.0",".",".",".",".",".",".",".",".","."
"","352
002","72","2.852","23.6","11.1","26.4","18.1","11.1","1.4","6.9",".",".",".",".",".",".",".",".","1.4"
"Digital System Fundamentals","Course Total","112","2.766","19.6","13.4","28.6","15.2","10.7","3.6","8.0",".",".",".",".",".",".",".",".","0.9"
"","354
001","55","2.736","18.2","12.7","18.2","29.1","12.7","3.6","5.5",".",".",".",".",".",".",".",".","."
"","002
354","57","2.886","22.8","24.6","8.8","26.3","7.0","5.3","5.3",".",".",".",".",".",".",".",".","."
"","003
354","53","3.085","13.2","30.2","28.3","20.8","5.7","1.9",".",".",".",".",".",".",".",".",".","."
"","354
004","52","2.721","9.6","34.6","13.5","17.3","9.6","9.6","5.8",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","217","2.857","16.1","25.3","17.1","23.5","8.8","5.1","4.1",".",".",".",".",".",".",".",".","."
"","001
367","84","2.780","17.9","21.4","17.9","11.9","17.9","6.0","4.8",".",".",".",".",".",".",".",".","2.4"
"","367
002","89","3.051","24.7","24.7","20.2","10.1","14.6","1.1","3.4",".","1.1",".",".",".",".",".",".","."
"","367
003","77","2.620","9.1","18.2","20.8","22.1","16.9","3.9","6.5","2.6",".",".",".",".",".",".",".","."
"","004
367","75","2.893","17.3","20.0","25.3","20.0","10.7","2.7","4.0",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","325","2.844","17.5","21.2","20.9","15.7","15.1","3.4","4.6","0.6","0.3",".",".",".",".",".",".","0.6"
"","368
001","32","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","002
368","19","",".",".",".",".",".",".",".",".",".","89.5","5.3",".",".","5.3",".","."
"","368
003","30","",".",".",".",".",".",".",".",".",".","73.3","16.7",".",".","10.0",".","."
"Learn New Programming Lang","Course Total","81","",".",".",".",".",".",".",".",".",".","82.7","12.3",".",".","4.9",".","."
"Tech:Computer-Based Bus Sys","371
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
001","70","2.985","18.6","20.0","28.6","14.3","8.6","7.1",".",".",".",".",".",".",".","1.4",".","1.4"
"","412
002","57","3.026","31.6","14.0","15.8","12.3","24.6",".","1.8",".",".",".",".",".",".",".",".","."
"","003
412","64","2.810","20.3","25.0","10.9","18.8","9.4","9.4","4.7",".",".",".",".",".",".",".",".","1.6"
"Intro to Numerical Methods","Course Total","191","2.939","23.0","19.9","18.8","15.2","13.6","5.8","2.1",".",".",".",".",".",".","0.5",".","1.0"
"Intro-Combinatorics","475
001","20","3.150","25.0","25.0","25.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","10","2.400","20.0","20.0","20.0",".",".","30.0","10.0",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","47","3.106","40.4","14.9","23.4","6.4","2.1","6.4","6.4",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","001
536","53","2.980","18.9","26.4","26.4","5.7","18.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"","537
001","61","3.056","32.8","19.7","18.0","11.5","13.1",".","4.9",".",".",".",".",".",".",".",".","."
"","537
002","55","3.360","36.4","27.3","20.0","10.9","5.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","116","3.197","34.5","23.3","19.0","11.2","9.5",".","2.6",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","62","2.968","19.4","21.0","30.6","11.3","9.7","1.6","4.8","1.6",".",".",".",".",".",".",".","."
"","552
001","16","2.500","12.5","6.3","25.0","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".","."
"","002
552","11","2.850","18.2","9.1","18.2","18.2","27.3",".",".",".",".",".",".",".",".",".",".","9.1"
"Intro-Computer Architecture","Course Total","27","2.635","14.8","7.4","22.2","18.5","22.2","11.1",".",".",".",".",".",".",".",".",".","3.7"
"Intro-Computationl Geometry","558
001","10","2.944","50.0",".",".","10.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","56","3.156","26.8","16.1","26.8","25.0","5.4",".",".",".",".",".",".",".",".",".",".","."
"","577
001","28","3.981","92.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","3.6"
"","577
002","110","3.291","31.8","23.6","29.1","12.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","138","3.427","44.2","19.6","23.2","10.1",".",".","2.2",".",".",".",".",".",".",".",".","0.7"
"Tools & Envirnmt-Optimizatn","635
001","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","638
001","29","3.517","44.8","20.7","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","638
002","33","3.621","48.5","12.1","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".","3.0"
