"","999
084","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
092","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
095","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","28","3.980","89.3","3.6",".",".",".","",".",".",".","",".",".","",".","7.1",".",".",".","."
"CURRIC
272","Dept. Total","2312","3.902","67.1","8.1","2.2","0.4","0.2","",".","0.1","1.3","",".","18.0","",".","1.3","0.8","0.2","0.0","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.828","70.6","29.4",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","92","3.881","79.3","16.3","3.3",".",".","",".",".",".","",".",".","",".",".","1.1",".",".","."
"Junior","","318","3.880","73.3","7.2","2.5","1.3","0.3","",".","0.3","0.3","",".","13.5","",".",".",".",".","0.3","0.9"
"Senior","","1265","3.892","60.6","8.8","2.3","0.3","0.2","",".","0.2",".","",".","27.0","",".",".","0.3","0.2",".","0.2"
"Undergraduates","","1692","3.888","64.1","9.1","2.4","0.5","0.2","",".","0.2","0.1","",".","22.8","",".",".","0.3","0.1","0.1","0.3"
"Special","","192","3.879","69.3","8.9","3.6","1.0",".","",".",".",".","",".","15.1","",".",".","2.1",".",".","."
"Graduate","","428","3.963","78.3","4.0","0.9",".",".","",".",".","6.8","",".","0.5","",".","7.0","2.1","0.5",".","."
"","Dept. Total","2312","3.902","67.1","8.1","2.2","0.4","0.2","",".","0.1","1.3","",".","18.0","",".","1.3","0.8","0.2","0.0","0.2"
