"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","261","2.800","7.7","14.9","29.1","28.0","15.7","1.9","0.4","0.4",".",".",".",".",".",".","1.1","0.8"
"Directed Study","198
023","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","25","3.539","20.0","68.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","23","3.630","34.8","56.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","26","3.762","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","23","3.722","47.8","47.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
300","24","3.770","54.2","45.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","22","3.775","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","21","3.552","19.0","71.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","23","3.443","30.4","52.2","13.0",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","300
010","24","3.418","20.8","41.7","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","22","3.779","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","22","3.687","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
300","17","3.651","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","307","3.660","42.3","49.2","7.8",".","0.3",".","0.3",".",".",".",".",".",".",".",".","."
"","301
001","171","2.890","18.1","14.0","24.6","11.1","30.4",".",".","0.6",".",".",".",".",".","0.6",".","0.6"
"","002
301","221","2.946","17.2","14.0","31.2","15.8","21.7",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","392","2.922","17.6","14.0","28.3","13.8","25.5",".",".","0.3",".",".",".",".",".","0.3",".","0.3"
"","001
302","26","3.154","26.9","19.2","34.6","11.5","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","302
002","44","3.250","34.1","15.9","29.5","6.8","13.6",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","70","3.214","31.4","17.1","31.4","8.6","10.0",".","1.4",".",".",".",".",".",".",".",".","."
"","303
001","130","3.154","17.7","26.2","39.2","12.3","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"","002
303","134","3.123","14.9","20.1","48.5","10.4","4.5","1.5",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","264","3.138","16.3","23.1","43.9","11.4","3.0","1.5","0.8",".",".",".",".",".",".",".",".","."
"","304
001","50","3.140","24.0","12.0","50.0","4.0","8.0",".","2.0",".",".",".",".",".",".",".",".","."
"","304
002","54","3.065","18.5","9.3","55.6",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","104","3.101","21.2","10.6","52.9","1.9","12.5",".","1.0",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
023","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
700","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","56","3.714","48.2","46.4","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","36","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
701","28","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","64","3.766","53.1","46.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","23","3.457","39.1","13.0","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Analysis for Managers","Course Total","27","3.500","40.7","18.5","40.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
710","39","3.872","76.9","20.5","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","37","3.681","45.9","40.5","10.8",".",".",".",".",".",".",".",".",".",".",".","2.7","."
"Ethics & Social Responsblty","Course Total","76","3.780","61.8","30.3","6.6",".",".",".",".",".",".",".",".",".",".",".","1.3","."
