"TERM : 0994","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 1998-99","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","",""
"Topics in Global Security","601
001
13","3.346","38.5","38.5","15.4",".",".",".","7.7",".",".",".",".",".",".",".   
.   
."
"Topics-Intl Pol Econ&Pol St","602
001
18","3.472","38.9","33.3","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".   
.   
."
"Topics-Lat Am&Carib Region","605
001
8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".   
.   
."
"INTL ST
504","39
Dept. Total","3.500","48.7","28.2","12.8","5.1","2.6",".","2.6",".",".",".",".",".","",".  
.  
.  
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","",""
"Junior","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".","",".  
.  
.  
."
"Senior","36","3.500","50.0","27.8","11.1","5.6","2.8",".","2.8",".",".",".",".",".","",".  
.  
.  
."
"Undergraduates","39","3.500","48.7","28.2","12.8","5.1","2.6",".","2.6",".",".",".",".",".","",".  
.  
.  
."
"","Dept. Total
39","3.500","48.7","28.2","12.8","5.1","2.6",".","2.6",".",".",".",".",".","",".  
.  
.  
."
"April 01, 2013","","","","","","","","","","","","","","","","Page 226 of 374"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","","",""
