"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"802
Physiological Plant Ecology","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828
Evolutionary Plant Ecology","001","","8","3.917","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"940
Seminar-Plant Taxonomy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Seminar-Plant Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-Plant Physiology","001","","8","3.833","62.5",".","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"969
Colloq-Teachng College Biol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research-Phycology","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991
Research-Plant Anat/Morphol","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","6","4.000","50.0",".",".",".",".",".",".","33.3",".",".",".","16.7",".",".",".","."
"995","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","12","4.000","58.3",".",".",".",".",".",".","25.0",".",".",".","16.7",".",".",".","."
"996","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","11","4.000","54.5",".",".",".",".",".",".","18.2",".",".",".","27.3",".",".",".","."
