"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","344","3.763","73.5","13.4","8.7","1.5","0.6","",".","0.3","0.6","",".",".",".","",".","",".","1.2","0.3","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","59","3.606","57.6","25.4","8.5","3.4","1.7","",".","1.7",".","",".",".",".","",".","",".","1.7",".","."
"Sophomore","","112","3.779","73.2","16.1","7.1","0.9",".","",".",".","0.9","",".",".",".","",".","",".","1.8",".","."
"Junior","","76","3.795","80.3","5.3","10.5","2.6",".","",".",".",".","",".",".",".","",".","",".","1.3",".","."
"Senior","","96","3.798","80.2","8.3","9.4",".","1.0","",".",".","1.0","",".",".",".","",".","",".",".",".","."
"Undergraduates","","343","3.764","74.1","13.1","8.7","1.5","0.6","",".","0.3","0.6","",".",".",".","",".","",".","1.2",".","."
"Special","","1","",".",".",".",".",".","",".",".",".","",".",".",".","",".","",".",".","100.0","."
"Graduate","","2","3.500",".","50.0","50.0",".",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"","College Total","346","3.763","73.4","13.3","9.0","1.4","0.6","",".","0.3","0.6","",".",".",".","",".","",".","1.2","0.3","."
