"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","201
001","77","3.207","29.9","24.7","16.9","18.2","3.9","2.6","1.3","1.3",".",".",".",".",".",".",".","1.3"
"","002
201","66","2.894","18.2","22.7","25.8","10.6","15.2","3.0","4.5",".",".",".",".",".",".",".",".","."
"","201
003","66","2.562","19.7","3.0","36.4","1.5","19.7","10.6","7.6",".",".",".",".",".",".","1.5",".","."
"Principles of Statistics","Course Total","209","2.903","23.0","17.2","25.8","10.5","12.4","5.3","4.3","0.5",".",".",".",".",".","0.5",".","0.5"
"","001
224","70","3.087","34.3","8.6","28.6","5.7","15.7","5.7",".",".",".",".",".",".",".",".",".","1.4"
"","224
002","69","3.457","50.7","11.6","23.2","7.2","7.2",".",".",".",".",".",".",".",".",".",".","."
"","224
003","63","2.850","25.4","4.8","33.3","4.8","15.9","9.5","1.6",".",".",".",".",".",".",".","3.2","1.6"
"","224
004","21","3.475","19.0","52.4","23.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","223","3.174","35.4","12.6","27.8","5.4","11.7","4.5","0.4","0.4",".",".",".",".",".",".","0.9","0.9"
"","301
001","78","3.006","21.8","11.5","37.2","10.3","15.4","1.3","1.3",".",".",".",".",".",".","1.3",".","."
"","301
002","89","2.815","15.7","15.7","27.0","14.6","22.5","1.1","3.4",".",".",".",".",".",".",".",".","."
"","301
003","91","2.939","30.8","8.8","24.2","9.9","17.6","4.4","3.3",".",".",".",".",".",".","1.1",".","."
"","004
301","97","3.069","29.9","13.4","17.5","16.5","17.5","2.1",".","1.0",".",".",".",".",".",".",".","2.1"
"","005
301","61","2.992","14.8","23.0","29.5","14.8","13.1","3.3",".","1.6",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","416","2.962","23.3","13.9","26.4","13.2","17.5","2.4","1.7","0.5",".",".",".",".",".","0.5",".","0.5"
"Intro to Math Statistics","310
001","9","3.611","66.7",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","62","2.903","19.4","14.5","25.8","11.3","27.4","1.6",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","46","2.815","17.4","15.2","21.7","13.0","30.4",".","2.2",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","314
001","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","18","3.559","61.1","16.7","11.1",".",".",".","5.6",".",".",".",".",".",".",".","5.6","."
"Appl Categorical Data Anal","421
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","27","3.426","33.3","33.3","25.9",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Reliability","001
426","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","7","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials","542
001","50","3.978","88.0","4.0",".",".",".",".",".","6.0",".",".",".",".",".",".",".","2.0"
"Stat Meth for Bioscience II","572
001","48","3.489","29.2","37.5","31.3",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Statistcl Mthds-Epidemiolgy","642
001","13","3.308","15.4","46.2","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","699
046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
114","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
146","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.409","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Time Series Anal II","702
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematical Statistics","710
001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survival Anal Thry & Mthds","741
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","756
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775
001","25","3.680","56.0","24.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Regressn Analysis","824
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
