"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
003","22","3.233","31.8","22.7","4.5",".",".",".","9.1","31.8",".",".",".",".",".",".",".","."
"","134
004","21","3.846","57.1",".",".",".","4.8",".",".","38.1",".",".",".",".",".",".",".","."
"","134
005","25","3.952","76.0","8.0",".",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"","134
006","19","3.591","21.1","26.3","10.5",".",".",".",".","42.1",".",".",".",".",".",".",".","."
"","134
007","23","3.441","21.7","30.4","13.0","8.7",".",".",".","26.1",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","154","3.661","44.8","18.8","4.5","1.9","1.3",".","1.3","26.6",".",".",".",".",".","0.6",".","."
"","138
001","18","3.000",".","5.6","16.7","5.6",".",".",".","66.7","5.6",".",".",".",".",".",".","."
"","002
138","15","3.667","33.3","40.0","6.7",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","003
138","12","3.333","8.3","16.7","25.0",".",".",".",".","41.7",".",".",".",".",".","8.3",".","."
"","138
004","13","3.714","23.1","30.8",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","138
005","14","3.278","7.1","21.4","35.7",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"Golf I","Course Total","72","3.449","13.9","22.2","16.7","1.4",".",".",".","43.1","1.4",".",".",".",".","1.4",".","."
"","001
140","22","3.455","18.2","18.2","9.1",".","4.5",".",".","50.0",".",".",".",".",".",".",".","."
"","140
002","24","3.875","25.0","8.3",".",".",".",".",".","62.5",".",".",".",".",".",".",".","4.2"
"","140
003","21","3.611","23.8","9.5","4.8","4.8",".",".",".","57.1",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","67","3.625","22.4","11.9","4.5","1.5","1.5",".",".","56.7",".",".",".",".",".",".",".","1.5"
"Ice Skating II","145
001","24","3.357","12.5","29.2","8.3","4.2","4.2",".",".","41.7",".",".",".",".",".",".",".","."
"","155
001","14","3.375","42.9","21.4","14.3",".",".",".","7.1","7.1",".",".",".",".",".","7.1",".","."
"","155
002","13","3.333","38.5","30.8","15.4",".",".",".","7.7",".",".",".",".",".",".","7.7",".","."
"Badminton I","Course Total","27","3.354","40.7","25.9","14.8",".",".",".","7.4","3.7",".",".",".",".",".","7.4",".","."
"","157
001","19","3.406","15.8","36.8","31.6",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","157
002","20","3.500","20.0","45.0","10.0","5.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"","157
003","22","3.357","22.7","27.3","40.9","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"Topics in Fencing","Course Total","61","3.415","19.7","36.1","27.9","3.3",".",".",".","11.5",".",".",".",".",".","1.6",".","."
"","162
001","20","3.792","45.0","5.0","10.0",".",".",".",".","30.0",".",".",".",".",".","10.0",".","."
"","162
002","16","3.250",".","18.8","18.8",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Tennis I","Course Total","36","3.611","25.0","11.1","13.9",".",".",".",".","44.4",".",".",".",".",".","5.6",".","."
"","163
001","15","3.833","26.7","13.3",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","163
002","22","3.794","59.1","9.1","4.5","4.5",".",".",".","22.7",".",".",".",".",".",".",".","."
"","163
003","14","3.727","50.0","14.3","14.3",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","163
004","20","3.875","45.0","15.0",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","71","3.804","46.5","12.7","4.2","1.4",".",".",".","35.2",".",".",".",".",".",".",".","."
"Basketball I","170
001","23","3.194","17.4","13.0","34.8","8.7","4.3",".",".","21.7",".",".",".",".",".",".",".","."
"Soccer I","173
001","24","3.063","20.8","4.2","25.0","12.5",".",".","4.2","25.0","4.2",".",".",".",".","4.2",".","."
"","175
001","33","3.589","42.4","21.2","15.2","6.1",".",".",".","15.2",".",".",".",".",".",".",".","."
"","002
175","26","3.583","46.2","19.2","23.1","3.8",".",".",".","7.7",".",".",".",".",".",".",".","."
"","175
003","29","3.707","51.7","31.0","13.8",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","88","3.630","46.6","23.9","17.0","3.4",".",".",".","9.1",".",".",".",".",".",".",".","."
"","193
001","20","3.688","15.0","25.0",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","002
193","9","3.800","33.3","22.2",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Downhill Skiing I","Course Total","29","3.731","20.7","24.1",".",".",".",".",".","55.2",".",".",".",".",".",".",".","."
"Orienteering","194
001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Cross Country Skiing I","196
001","11","3.625","36.4","18.2","18.2",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","201
001","17","3.433","17.6","29.4","35.3",".",".",".",".","11.8",".",".",".",".",".",".",".","5.9"
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 96 of 374"
