"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","137","3.059","13.1","27.7","32.8","17.5","5.1","1.5","1.5",".",".",".",".",".",".",".",".","0.7"
"","102","001","134","3.011","14.2","25.4","29.1","15.7","12.7","1.5","0.7","0.7",".",".",".",".",".",".",".","."
"","102","002","316","3.176","16.1","32.6","34.2","12.0","2.2","0.9","1.6",".",".",".",".",".",".","0.3",".","."
"Amer Hist-Civil War-Present","","Course Total","450","3.127","15.6","30.4","32.7","13.1","5.3","1.1","1.3","0.2",".",".",".",".",".","0.2",".","."
"Intro-E Asian History:Japan","104","001","48","3.404","39.6","27.1","20.8","6.3",".","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","131","3.494","42.0","22.9","22.1","3.8","2.3","1.5",".","3.1",".",".",".",".",".",".","2.3","."
"Medieval Europe 410-1500","115","001","71","3.180","19.7","32.4","22.5","18.3","2.8","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","80","3.511","36.3","36.3","21.3","3.8","1.3",".",".",".",".",".",".",".",".",".",".","1.3"
"Europe&Mod World 1815-On","120","001","70","3.283","20.0","27.1","38.6","5.7","4.3",".",".","2.9",".",".",".",".",".",".",".","1.4"
"British Hist: 1688-Present","124","001","81","2.969","14.8","19.8","35.8","14.8","6.2","3.7","1.2","3.7",".",".",".",".",".",".",".","."
"Middle East-20th Century","139","001","68","3.408","44.1","14.7","16.2","8.8","7.4",".","1.5","7.4",".",".",".",".",".",".",".","."
"","200","001","12","3.042","8.3","33.3","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","200","002","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","23","3.304","26.1","34.8","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","201","001","27","3.500","44.4","40.7","3.7","7.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"","201","002","18","3.066","16.7","22.2","11.1","16.7","5.6","5.6",".","22.2",".",".",".",".",".",".",".","."
"Special Topics-Amer History","","Course Total","45","3.357","33.3","33.3","6.7","11.1","2.2","2.2","2.2","8.9",".",".",".",".",".",".",".","."
"","202","002","46","3.337","28.3","34.8","17.4","13.0",".",".","2.2","2.2",".",".",".",".",".","2.2",".","."
"","202","003","11","3.409","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-European Hist","","Course Total","57","3.349","28.1","33.3","21.1","12.3",".",".","1.8","1.8",".",".",".",".",".","1.8",".","."
"Modern Latin America","242","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Col,Natn&Minrty:PuertoRican","243","001","70","3.338","22.9","42.9","22.9","2.9","2.9","1.4","1.4",".","1.4",".",".",".",".","1.4",".","."
"SE Asia:Vietnam to Philipns","244","001","53","3.131","22.6","18.9","32.1","9.4","9.4",".","1.9",".",".",".",".",".",".",".","5.7","."
"American Business History","247","001","39","3.333","20.5","25.6","41.0","5.1",".",".",".","7.7",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","32","3.297","18.8","31.3","40.6","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","34","3.346","47.1","23.5","8.8",".","11.8","2.9","2.9",".",".",".",".",".",".",".","2.9","."
"Africa: Introductory Survey","277","001","48","2.969","22.9","14.6","39.6","8.3","4.2","6.3","4.2",".",".",".",".",".",".",".",".","."
"Hist Am Thought 1859-Pres","302","001","70","3.283","24.3","32.9","32.9","7.1",".",".","2.9",".",".",".",".",".",".",".",".","."
"Hist of Rome: The Republic","307","001","87","3.476","28.7","39.1","21.8","4.6","1.1",".",".","2.3",".",".",".",".","1.1",".","1.1","."
"Music,Art&Hist-Multimedia","315","001","66","2.490","4.5","7.6","37.9","13.6","19.7",".","7.6","7.6",".",".",".",".","1.5",".",".","."
"Venice&The Repub-Hist&Cult","326","001","27","2.489","18.5",".","29.6","14.8","25.9",".","11.1",".",".",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","35","3.046","25.7","25.7","11.4","20.0","5.7","2.9","5.7","2.9",".",".",".",".",".",".",".","."
"Peoples Replc China 1949 on","342","001","32","3.068","12.5","31.3","31.3","9.4","9.4","3.1",".","3.1",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","43","3.169","20.9","32.6","20.9","18.6","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"France from 1799-1914","348","001","46","2.719","10.9","13.0","26.1","26.1","8.7","8.7","2.2",".",".",".",".",".","2.2","2.2",".","."
"Eighteenth Century Europe","352","001","43","3.209","18.6","32.6","30.2","16.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"Women & Gender-U.S. to 1870","353","001","40","3.198","17.5","32.5","32.5","12.5",".",".","2.5","2.5",".",".",".",".",".",".",".","."
"The Second World War","357","001","137","3.169","16.1","33.6","24.8","11.7","2.9","0.7","2.2","5.8",".",".",".",".",".","2.2",".","."
"History of Africa to 1500","376","001","38","2.921","2.6","26.3","31.6","26.3","10.5",".",".",".",".",".",".",".",".",".",".","2.6"
"Hist of Africa Since 1870","378","001","88","3.327","17.0","39.8","30.7","4.5","3.4",".",".","4.5",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","123","3.316","26.0","33.3","26.0","8.1","4.1","1.6",".","0.8",".",".",".",".",".",".",".","."
