"","990
014","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
015","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
018","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","18","4.000","5.6",".",".",".",".",".",".","33.3",".",".","",".","61.1","",".",".",".","."
"ART HIST
180","Dept. Total","1049","3.361","38.5","22.5","18.4","4.8","4.5","2.2","1.9","4.2","0.1","0.3","",".","1.1","",".","1.0","0.5","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","96","3.261","42.7","11.5","25.0","5.2","8.3","3.1","2.1",".",".",".","",".",".","",".","1.0",".","1.0"
"Sophomore","","243","3.424","42.0","23.5","21.8","4.1","4.1","2.1","1.2","0.8",".","0.4","",".",".","",".",".",".","."
"Junior","","227","3.278","33.0","29.5","20.3","6.6","3.5","3.5","2.2","0.4",".",".","",".",".","",".",".","0.9","."
"Senior","","376","3.322","35.9","23.7","17.3","5.1","5.3","1.9","2.7","5.6","0.3","0.5","",".",".","",".","1.9",".","."
"Undergraduates","","942","3.332","37.5","23.8","20.0","5.2","4.9","2.4","2.1","2.5","0.1","0.3","",".",".","",".","0.8","0.2","0.1"
"Special","","27","3.486","25.9",".","7.4","3.7","3.7",".",".","44.4",".",".","",".",".","",".","3.7","11.1","."
"Graduate","","80","3.850","55.0","15.0","3.8",".",".",".",".","10.0",".",".","",".","15.0","",".","1.3",".","."
"","Dept. Total","1049","3.361","38.5","22.5","18.4","4.8","4.5","2.2","1.9","4.2","0.1","0.3","",".","1.1","",".","1.0","0.5","0.1"
