"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","7","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","25","3.898","92.0","4.0","4.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","42","3.938","95.2","2.4","2.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","4","3.625","50.0","50.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","77","3.740","59.7","31.2","9.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","137","3.693","69.3",".","30.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","137","3.693","69.3",".","30.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
