"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","173","3.099","15.0","28.3","33.5","11.0","8.7","1.7","0.6","1.2",".",".",".",".",".",".",".","."
"102","001","","44","3.432","34.1","36.4","15.9","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"102","002","","42","3.381","28.6","40.5","16.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"102","003","","42","3.524","38.1","38.1","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","128","3.445","33.6","38.3","15.6","8.6","3.9",".",".",".",".",".",".",".",".",".",".","."
"299","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.904","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","174","2.746","17.8","11.5","25.3","17.8","16.7","6.3","3.4",".",".",".",".",".",".",".","0.6","0.6"
"304","001","","33","2.803","15.2","6.1","39.4","27.3","3.0","6.1","3.0",".",".",".",".",".",".",".",".","."
"304","002","","37","2.959","10.8","8.1","56.8","16.2","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"304","003","","34","3.076","8.8","23.5","47.1","14.7",".","2.9",".",".",".",".",".",".",".",".",".","2.9"
"Procaryotic Microbiol Lab","Course Total","","104","2.947","11.5","12.5","48.1","19.2","2.9","3.8","1.0",".",".",".",".",".",".",".",".","1.0"
"330
Host-Parasite Interactions","001","","41","3.195","17.1","26.8","36.6","17.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"370
Bacterial Genetics","001","","66","2.945","21.2","15.2","25.8","7.6","24.2","3.0",".",".",".",".",".",".",".",".","1.5","1.5"
"399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"523
Soil Microbiology & Biochem","001","","12","3.455","33.3","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3"
"531
Undergraduate Seminar","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Topics in Biotechnology","001","","31","3.823","74.2","19.4","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"550
Physiol Divrsty-Procaryotes","001","","77","2.708","16.9","7.8","24.7","14.3","29.9","6.5",".",".",".",".",".",".",".",".",".","."
"551","001","","12","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"551","002","","21","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"551","003","","21","3.071","19.0","23.8","33.3","19.0",".",".","4.8",".",".",".",".",".",".",".",".","."
"551","004","","20","3.300","30.0","25.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","","74","3.169","17.6","23.0","44.6","10.8","2.7",".","1.4",".",".",".",".",".",".",".",".","."
"568
Microbiol-Atomic Resolution","001","","9","3.375","22.2","33.3","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
