"EGR","","","","","","","","","","","","","","","","","","","",""
"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","26","3.846","84.6","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","30","3.150","23.3","20.0","33.3","10.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","002
211","","30","2.917","13.3","16.7","46.7","6.7","6.7","10.0",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","60","3.033","18.3","18.3","40.0","8.3","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","250
001","","28","2.679","10.7","10.7","32.1","10.7","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"","250
002","","25","3.120","16.0","24.0","48.0",".","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","53","2.887","13.2","17.0","39.6","5.7","18.9","5.7",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
001","","41","3.134","22.0","12.2","46.3","9.8","9.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","001
320","","43","3.000","27.9","14.0","23.3","4.7","27.9","2.3",".",".",".",".",".",".",".",".",".","."
"","324
002","","8","3.188","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","9","3.222","11.1","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","9","2.889","11.1","22.2","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","36","3.194","16.7","33.3","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","001
326","","47","2.968","10.6","23.4","38.3","12.8","10.6","4.3",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","54","2.769","11.1","16.7","25.9","18.5","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","55","3.027","12.7","23.6","38.2","14.5","7.3","3.6",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","58","3.095","20.7","24.1","25.9","12.1","17.2",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","60","3.042","20.0","26.7","23.3","11.7","13.3","5.0",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535
001","","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","001
540","","48","2.479","6.3","6.3","14.6","27.1","43.8","2.1",".",".",".",".",".",".",".",".",".","."
"Processing-Electronic Matls","544
001","","23","3.524","30.4","43.5","13.0",".","4.3",".",".","8.7",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","26","2.673","19.2","3.8","30.8","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"","562
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Process Engineering","565
001","","22","3.091","22.7","13.6","36.4","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"","599
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","12","3.960","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","40","3.944","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 106 of 374",""
