"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
001","","16","3.600","50.0","25.0","6.3","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","002
1","","13","3.654","46.2","38.5","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","003
1","","18","3.464","33.3","11.1","27.8","5.6",".",".",".","11.1",".",".",".",".",".","5.6",".","5.6"
"","1
004","","17","3.594","64.7","5.9","17.6",".",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"","1
005","","13","3.500","53.8","15.4","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","7.7"
"Workshop in Dance Activity","Course Total","","77","3.555","49.4","18.2","14.3","3.9","2.6","1.3",".","6.5",".",".",".",".",".","1.3",".","2.6"
"","11
001","","15","3.821","60.0","33.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","11
002","","20","3.974","90.0","5.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","","35","3.909","77.1","17.1",".",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","","25","3.542","40.0","28.0","24.0","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Modern Dance II","12
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-Movement for Dancers","161
001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance","205
001","","21","3.905","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","21
001","","13","3.727","46.2","30.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".","7.7","."
"","21
002","","14","3.722","28.6","35.7",".",".",".",".",".","28.6",".",".",".",".",".",".","7.1","."
"Ballet I","Course Total","","27","3.725","37.0","33.3","3.7",".",".",".",".","18.5",".",".",".",".",".",".","7.4","."
"Modern Dance Technique IV","212
001","","15","3.679","40.0","46.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Ballet II","22
001","","20","3.794","50.0","35.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","5.0"
"Ballet Technique II","225
001","","33","3.848","72.7","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","","13","3.115","23.1","38.5","23.1",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","255
001","","15","3.536","46.7","6.7","40.0",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","255
002","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","","26","3.540","42.3","19.2","34.6",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"","31
001","","21","3.382","19.0","28.6","28.6","4.8",".",".",".","19.0",".",".",".",".",".",".",".","."
"","002
31","","19","3.071","21.1","15.8","10.5","15.8","5.3","5.3",".","26.3",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","","40","3.242","20.0","22.5","20.0","10.0","2.5","2.5",".","22.5",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","312
001","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","","13","3.708","61.5","7.7","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","399
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","10","3.912","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","","54","3.522","14.8","14.8","13.0",".",".",".",".","55.6",".",".",".",".",".","1.9",".","."
"","41
002","","55","3.778","36.4","29.1",".",".",".",".",".","32.7",".",".",".",".",".",".",".","1.8"
"","41
003","","33","3.963","78.8",".","3.0",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","004
41","","37","3.957","91.9",".",".","2.7",".",".",".","5.4",".",".",".",".",".",".",".","."
"","41
005","","31","3.739","48.4","16.1","6.5","3.2",".",".",".","25.8",".",".",".",".",".",".",".","."
"","006
41","","43","3.886","44.2","4.7",".","2.3",".",".",".","46.5","2.3",".",".",".",".",".",".","."
"","41
007","","61","3.561","34.4","24.6","18.0","3.3",".",".",".","19.7",".",".",".",".",".",".",".","."
"","008
41","","38","3.893","57.9","15.8",".",".",".",".",".","23.7","2.6",".",".",".",".",".",".","."
"","41
009","","26","3.771","61.5","19.2","11.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","41
010","","32","3.840","59.4","12.5","6.3",".",".",".",".","15.6",".",".",".",".",".",".","3.1","3.1"
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 99 of 374"
