"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","165","3.067","24.2","21.2","30.3","7.9","9.7","3.6","2.4",".",".",".",".",".",".",".","0.6","."
"200
Introduction to Phonetics","001","","61","3.617","49.2","32.8","9.8","3.3","3.3",".",".","1.6",".",".",".",".",".",".",".","."
"201
Speech Science","001","","47","3.085","4.3","40.4","31.9","14.9","8.5",".",".",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","41","3.463","34.1","31.7","24.4","4.9","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","107","3.452","36.4","32.7","16.8","6.5","3.7","0.9",".","1.9",".",".",".",".",".",".",".","0.9"
"318
Speech Pathology II","001","","60","3.675","51.7","41.7","1.7","3.3",".","1.7",".",".",".",".",".",".",".",".",".","."
"320
Introduction to Audiology","001","","71","3.310","31.0","19.7","38.0","5.6","4.2","1.4",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","23","3.739","65.2","26.1","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"390","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Auditory Rehabilitation","001","","73","3.486","19.2","61.6","16.4","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"434
Manual Coded English-SL II","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","72","3.486","47.2","15.3","29.2","2.8","2.8","1.4",".","1.4",".",".",".",".",".",".",".","."
"455
Topics in Com Dis","001","","8","3.969","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590
Clinical Grand Rounds","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Lang&Learn Disordrs-Childrn","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
School Practicum in Com Dis","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.938","75.0",".","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"711
Dysarthria","001","","40","3.625","27.5","70.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Mgt&Assessmt-Voice Disorder","001","","48","3.885","79.2","18.8","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","20","3.909","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","18","3.841","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","7","3.667","57.1","14.3",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".","."
"790","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","17","3.825","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","67","3.840","74.6","19.4","3.0","1.5",".",".",".",".",".",".",".",".",".","1.5",".","."
"791","002","","12","3.667","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"791","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"791","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"791","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology","Course Total","","19","3.678","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 180 of 374",""
