"LAW","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"Negotiations","743","001","","26","3.331","15.4","34.6","46.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744","001","","59","3.457","32.2","15.3","25.4","6.8",".",".",".","20.3",".",".",".",".",".",".",".","."
"Labor Relations Law","745","001","","49","3.554","38.8","28.6","24.5","2.0",".",".",".","6.1",".",".",".",".",".",".",".","."
"Legislation","746","001","","50","3.600","44.0","20.0","26.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Trademarks","749","001","","38","3.661","42.1","23.7","15.8",".",".",".",".","18.4",".",".",".",".",".",".",".","."
"Evidence","801","001","","38","3.606","52.6","10.5","18.4",".","5.3",".",".","13.2",".",".",".",".",".",".",".","."
"","802","001","","65","3.331","38.5","16.9","29.2","6.2","4.6","4.6",".",".",".",".",".",".",".",".",".","."
"","802","003","","53","3.630","43.4","24.5","17.0","1.9",".",".",".","13.2",".",".",".",".",".",".",".","."
"Civil Procedure II","","Course Total","","118","3.455","40.7","20.3","23.7","4.2","2.5","2.5",".","5.9",".",".",".",".",".",".",".","."
"","808","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808","002","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","","Course Total","","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","813","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","813","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Administrative Advocacy","","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","001","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","004","","7","3.794","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","005","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","","Course Total","","86","3.978","76.7","3.5",".",".",".",".",".","19.8",".",".",".",".",".",".",".","."
"Business Organizations I","817","001","","59","3.408","40.7","6.8","25.4","6.8",".","3.4",".","16.9",".",".",".",".",".",".",".","."
"Comparative Law","818","001","","11","3.690","72.7",".","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Creditors & Debtors Rights","821","001","","26","3.460","42.3","19.2","30.8",".",".","3.8",".","3.8",".",".",".",".",".",".",".","."
"Family Law I","822","001","","21","3.526","47.6","9.5","28.6",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"Family Law II","823","001","","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824","001","","25","3.380","32.0","20.0","44.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Remedies","839","001","","38","3.554","42.1","23.7","31.6",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Taxation II","840","001","","31","3.643","45.2","9.7","9.7",".",".","3.2",".","32.3",".",".",".",".",".",".",".","."
"Unfair Trade Practices","843","001","","24","3.708","62.5","16.7","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Rights Law","845","001","","15","3.650","33.3","20.0","13.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Environ Law & Institutions","848","001","","15","3.375","40.0","13.3","6.7","6.7","13.3",".",".","20.0",".",".",".",".",".",".",".","."
"","850","001","","46","3.275","23.9","28.3","15.2","10.9","8.7",".",".","13.0",".",".",".",".",".",".",".","."
"","850","002","","47","3.833","61.7","14.9","6.4",".",".",".",".","17.0",".",".",".",".",".",".",".","."
"Professnl Responsibilities","","Course Total","","93","3.551","43.0","21.5","10.8","5.4","4.3",".",".","15.1",".",".",".",".",".",".",".","."
"","852","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852","003","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852","004","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852","005","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852","006","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852","007","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 311 of 374",""
