"ART EDUCATION (DEPT OF ART) Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","",""
"","322","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","322","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","322","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teachng Art:Pre-Middle Schl","","Course Total","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Elementary Education","323","001","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Elem School Art","423","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","470","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","493","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570","001","","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices in Art Ed","900","001","","8","3.833","62.5",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","12.5"
"Seminar in Art Education","951","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","","Course Total","","3","***","","","","","","","","","","","","","","","",""
