"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101
001","31","3.524","45.2","29.0","12.9","3.2",".",".","3.2","3.2",".",".",".",".",".",".","3.2","."
"Environmental Geology","106
001","20","2.789","10.0","5.0","45.0","15.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","112
001","190","3.669","56.8","31.6","5.8","2.6","1.1","1.1","0.5",".",".",".",".",".",".","0.5",".","."
"","112
002","44","3.352","25.0","27.3","40.9","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","Course Total","234","3.609","50.9","30.8","12.4","3.4","0.9","0.9","0.4",".",".",".",".",".",".","0.4",".","."
"","001
120","23","3.023","13.0","26.1","26.1","21.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".","."
"","120
002","13","3.000","30.8","7.7","15.4","23.1","23.1",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","36","3.014","19.4","19.4","22.2","22.2","11.1","2.8",".","2.8",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121
001","42","2.939","16.7","21.4","31.0","14.3","7.1","2.4","4.8","2.4",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126
001","39","3.397","35.9","25.6","28.2","7.7",".","2.6",".",".",".",".",".",".",".",".",".","."
"","127
001","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","127
002","10","3.111","30.0","10.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0"
"Physical Systems of Envr","Course Total","16","3.167","25.0","18.8","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".","6.3"
"","171
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","092
171","7","3.214","14.3","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","Course Total","12","3.208","16.7","41.7","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307
001","23","3.500","26.1","52.2","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"People, Chemicals, Envrnmnt","308
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Our Hazardous Environment","336
001","9","3.188","44.4","11.1",".",".","33.3",".",".",".",".",".",".",".",".",".",".","11.1"
"","339
001","26","2.700","11.5","15.4","23.1","19.2","19.2","3.8","3.8",".",".",".",".",".","3.8",".",".","."
"","002
339","48","2.851","10.4","22.9","25.0","14.6","20.8","4.2",".",".","2.1",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","74","2.799","10.8","20.3","24.3","16.2","20.3","4.1","1.4",".","1.4",".",".",".","1.4",".",".","."
"Environment&Global Economy","344
001","21","2.905","14.3","14.3","38.1","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361
001","33","3.161","27.3","36.4","12.1",".","9.1","6.1","3.0","6.1",".",".",".",".",".",".",".","."
"Envr Law, Toxic Subst&Consv","368
001","65","2.754","16.9","9.2","26.2","9.2","15.4","9.2","1.5","6.2",".",".",".",".","3.1",".","3.1","."
"Intro to Geog Info Systems","377
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","12","3.818","66.7","16.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","400
003","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","005
400","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
400","13","3.716","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","Course Total","69","3.818","76.8","10.1","8.7","1.4",".",".",".","1.4",".",".",".",".","1.4",".",".","."
"Geom Anal-Vert Aerial Photo","403
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Photogrammetry","405
001","7","3.900","57.1","14.3",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Minerals - A Public Problem","410
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441
001","22","3.489","54.5","18.2","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
