"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","381","2.680","16.3","9.2","24.9","12.6","27.0","7.6","1.3",".",".",".",".",".",".","0.3",".","0.8"
"","101
002","316","2.658","17.4","5.1","24.1","16.8","27.5","7.6","0.9",".",".",".",".",".",".",".",".","0.6"
"","092
101","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","101
093","6","3.750","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","16.7"
"Animal Biology","Course Total","709","2.682","17.2","7.5","24.4","14.2","26.9","7.5","1.1",".",".",".",".",".",".","0.3",".","0.8"
"","102
001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","33","3.516","36.4","30.3","27.3","3.0",".",".",".",".",".",".",".",".",".","3.0",".","."
"","102
003","30","3.672","46.7","36.7","13.3",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"","004
102","30","3.379","33.3","23.3","26.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".","3.3"
"","005
102","31","3.597","45.2","32.3","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","31","3.306","25.8","22.6","45.2",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"","007
102","31","3.467","32.3","38.7","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".",".","3.2"
"","102
008","32","3.484","43.8","15.6","37.5",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","30","3.567","46.7","23.3","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","010
102","31","3.339","32.3","22.6","32.3","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"","102
011","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","29","3.621","44.8","41.4","10.3",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","013
102","33","3.061","24.2","9.1","45.5","9.1","9.1",".","3.0",".",".",".",".",".",".",".",".","."
"","102
014","30","3.733","56.7","33.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","25","3.300","32.0","20.0","28.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","016
102","29","3.552","37.9","37.9","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","017
102","27","3.593","33.3","51.9","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","479","3.488","39.0","28.8","24.8","3.8","2.5",".","0.2",".",".",".",".",".",".","0.4",".","0.4"
"Genetics and Human Affairs","133
001","24","2.438","4.2","20.8","8.3","16.7","41.7","4.2","4.2",".",".",".",".",".",".",".",".","."
"Introductory Biology","001
151","163","2.861","15.3","8.6","43.6","6.7","20.2","4.9",".",".",".",".",".",".","0.6",".",".","."
"","001
152","195","3.174","26.2","14.9","41.5","5.6","10.3","1.5",".",".",".",".",".",".",".",".",".","."
"","002
152","179","3.374","41.3","12.8","34.1","3.9","7.3","0.6",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","374","3.270","33.4","13.9","38.0","4.8","8.8","1.1",".",".",".",".",".",".",".",".",".","."
"Biology Forum","258
001","41","3.756","70.7","14.6","12.2",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","103","2.907","20.4","10.7","29.1","11.7","25.2","1.9",".","1.0",".",".",".",".",".",".",".","."
"Biology Forum (Honors)","285
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Invertebrate Zoology","300
001","25","2.880","24.0","20.0","16.0","12.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","301
001","14","3.259","28.6","50.0",".","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","002
301","9","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Zoology Lab","Course Total","23","3.160","30.4","30.4","13.0","8.7","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","27","3.074","29.6","18.5","25.9","18.5",".",".","7.4",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","126","3.088","25.4","15.1","35.7","4.0","17.5",".","1.6","0.8",".",".",".",".",".",".",".","."
"Parasitology","350
001","85","2.576","11.8","4.7","30.6","7.1","40.0","4.7","1.2",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","001
351","17","3.382","41.2","17.6","29.4",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","400
001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","23","3.318","34.8","30.4","4.3","13.0","13.0",".",".",".",".",".",".",".",".",".",".","4.3"
"","004
400","11","3.273","27.3","36.4","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","42","3.348","31.0","35.7","11.9","7.1","11.9",".",".",".",".",".",".",".",".",".",".","2.4"
"Evolutionary Biology","001
410","99","2.707","20.2","10.1","24.2","6.1","30.3","6.1","3.0",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 305 of 374",""
