"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5736","2.693","24.7","10.4","21.1","9.7","18.3","8.4","5.2","0.2","0.1","1.0","",".","",".","0.0","0.3","0.1","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1963","2.569","19.4","8.1","23.4","9.9","20.6","11.0","5.7",".",".","1.3","",".","",".",".","0.4","0.1","0.3"
"Sophomore","","2046","2.687","22.8","11.4","22.1","9.5","18.5","7.9","5.4",".","0.0","1.3","",".","",".",".","0.2","0.2","0.5"
"Junior","","869","2.703","24.4","11.3","20.1","12.0","19.0","7.4","4.9",".","0.1",".","",".","",".",".","0.2","0.3","0.2"
"Senior","","500","2.713","24.0","11.8","19.2","10.2","18.0","8.0","5.2","1.2",".","0.4","",".","",".","0.2","1.0",".","0.8"
"Undergraduates","","5378","2.645","21.9","10.2","22.0","10.1","19.3","8.9","5.4","0.1","0.0","1.0","",".","",".","0.0","0.4","0.1","0.4"
"Special","","56","2.785","25.0","21.4","19.6","5.4","12.5","3.6","10.7","1.8",".",".","",".","",".",".",".",".","."
"Graduate","","302","3.758","73.8","10.6","6.0","2.3","1.7","0.3","0.7","2.3","0.3",".","",".","",".",".","0.3",".","1.7"
"","Dept. Total","5736","2.693","24.7","10.4","21.1","9.7","18.3","8.4","5.2","0.2","0.1","1.0","",".","",".","0.0","0.3","0.1","0.5"
