"EDU","","","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"999
027","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"999
032","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"999
036","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"999
038","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"999
039","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Course Total
Independent Reading","17","4.000","70.6",".",".",".","",".","",".","",".","11.8","",".",".","",".","11.8","5.9",".",".","."
"ELPA
Dept. Total
305","427","3.906","73.5","12.6","1.6","0.2","",".","",".","",".","6.1","",".",".","",".","3.5","1.9",".",".","0.5"
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","7","3.857","71.4","28.6",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","7","3.857","71.4","28.6",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","49","3.859","77.6","16.3","2.0","2.0","",".","",".","",".",".","",".",".","",".",".","2.0",".",".","."
"Graduate","371","3.913","73.0","11.9","1.6",".","",".","",".","",".","7.0","",".",".","",".","4.0","1.9",".",".","0.5"
"Dept. Total","427","3.906","73.5","12.6","1.6","0.2","",".","",".","",".","6.1","",".",".","",".","3.5","1.9",".",".","0.5"
