"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","",""
"HEC","College Total","2248","3.277","30.5","21.8","25.0","8.5","4.9","1.4","0.9","1.4","",".","4.4",".","0.5","0.4","0.2",".","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"HEC","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","70","3.051","17.1","24.3","32.9","10.0","10.0","2.9","1.4",".","",".",".",".",".",".",".",".","1.4"
"Sophomore","","320","3.069","15.3","28.8","29.7","15.6","6.3","3.1","0.6","0.3","",".",".",".",".",".",".",".","0.3"
"Junior","","646","3.256","29.1","21.2","28.8","10.4","4.0","1.2","1.1","0.3","",".","3.6",".",".",".","0.3",".","."
"Senior","","1055","3.301","31.5","21.1","24.1","6.3","5.3","1.1","1.0","1.8","",".","7.3",".",".","0.3","0.2",".","."
"Undergraduates","","2091","3.241","27.8","22.4","26.7","9.1","5.2","1.5","1.0","1.1","",".","4.8",".",".","0.1","0.2",".","0.1"
"Special","","15","3.451","40.0","33.3","20.0",".","6.7",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","141","3.916","69.5","12.1",".",".","0.7",".",".","6.4","",".",".",".","7.8","3.5",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","College Total","2248","3.277","30.5","21.8","25.0","8.5","4.9","1.4","0.9","1.4","",".","4.4",".","0.5","0.4","0.2",".","0.1"
