"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","377","001","","45","2.822","24.4","11.1","17.8","28.9","2.2","15.6",".",".",".",".",".",".",".",".",".","."
"","377","002","","45","2.822","8.9","22.2","31.1","17.8","11.1","8.9",".",".",".",".",".",".",".",".",".","."
"","377","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","","Course Total","","92","2.826","17.4","16.3","23.9","22.8","7.6","12.0",".",".",".",".",".",".",".",".",".","."
"","399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","8","3.933","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","","22","3.045","22.7","9.1","36.4","18.2","13.6",".",".",".",".",".",".",".",".",".",".","."
"","412","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","","Course Total","","24","3.125","29.2","8.3","33.3","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"State Space System Analysis","416","001","","22","3.045","31.8","18.2","22.7","9.1","4.5","13.6",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","","17","2.971","23.5","11.8","29.4","5.9","29.4",".",".",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Photonics","434","001","","8","3.583","25.0","37.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Analog Communicatn Systems","436","001","","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Communication Sys","437","001","","20","2.778","5.0","20.0","25.0","20.0","15.0","5.0",".","5.0",".",".",".",".",".",".","5.0","."
"Introduction to Robotics","439","001","","9","2.833","11.1","33.3","11.1",".","44.4",".",".",".",".",".",".",".",".",".",".","."
"E&M Fields and Waves","440","001","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Microprocessors","453","001","","18","3.333","44.4","22.2","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","29","3.397","51.7","13.8","17.2","10.3",".","6.9",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504","001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","511","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Analg MOS Integrtd Cir Dsgn","541","001","","18","3.444","38.9","27.8","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Num Model-Semicndctr Device","543","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Processing-Electronic Matls","544","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lasers","546","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Com Circuit Dsgn","547","001","","22","3.265","31.8","9.1","18.2","4.5","13.6",".",".","18.2",".",".",".",".",".",".",".","4.5"
"IC Fabrication Lab","549","001","","13","3.500","30.8","30.8","30.8",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","552","001","","18","3.147","38.9","11.1","16.7","5.6","16.7","5.6",".",".",".",".",".",".",".",".","5.6","."
"","552","002","","34","3.103","26.5","20.6","20.6","23.5","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","52","3.118","30.8","17.3","19.2","17.3","7.7","5.8",".",".",".",".",".",".",".",".","1.9","."
"Digital Engineering Lab","554","001","","26","3.654","50.0","30.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","","66","3.114","22.7","22.7","36.4",".","15.2","1.5","1.5",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 115 of 374",""
