"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","36","3.886","80.6","13.9",".","2.8",".",".",".",".",".",".",".",".",".","2.8",".","."
"300","002","","23","3.565","30.4","52.2","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","18","3.765","61.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"300","004","","21","3.877","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","38","3.711","50.0","42.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","006","","33","3.453","39.4","36.4","9.1","9.1",".",".","3.0",".",".",".",".",".",".",".",".","3.0"
"School and Society","Course Total","","169","3.704","56.2","32.0","7.1","2.4",".",".","0.6",".",".",".",".",".",".","0.6",".","1.2"
"412
History-American Education","001","","40","3.275","27.5","27.5","22.5","17.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","25","3.440","24.0","44.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"477
Political Socialization","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Paideia:Ed in Westrn Cultur","001","","13","3.879","69.2","23.1",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"548
Educational Ethics","001","","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
The Sociol of School Org","001","","19","3.556","31.6","47.4","10.5","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"648
Sociology of Education","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"720
Prosem-Soc Sci&Ed Pol Stdy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"870
Theories-Soc & Ed Change","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Education and Public Policy","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"963
Ed Plan&Curric-Dev Country","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","30","4.000","26.7",".",".",".",".",".",".","46.7",".",".",".","26.7",".",".",".","."
"999","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
