"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"462
Thtr-Yng Audiences:Productn","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"463
Thtr-Yng Aud:Production Lab","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
PattrnMaking-TheatrCostumes","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"466
Stage Lighting Design II","001","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"470
Fundamntl-Technical Directn","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Scenic Painting","001","","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"534
Amer Drama&Theatre to 1900","001","","19","3.139","15.8","21.1","31.6","26.3",".",".",".",".",".",".",".",".",".","5.3",".","."
"550
Advanced Scene Study","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","37","3.908","83.8","10.8","2.7",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"571
Adv Technical Practices","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"619","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","17","3.910","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","7","3.853","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","3.889","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","004","","8","4.000","25.0",".",".",".",".",".",".","62.5",".",".",".","12.5",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","4.000","19.0",".",".",".",".",".",".","61.9",".",".",".","14.3","4.8",".",".","."
"999","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
