"","990
051","","2","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
053","","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
054","","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","","28","3.952","85.7",".","3.6",".",".","",".","",".","7.1","",".",".","",".","3.6","",".",".",".","."
"NEUROSCI
682","Dept. Total","","75","3.769","58.7","6.7","4.0","2.7","1.3","",".","",".","25.3","",".",".","",".","1.3","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","10","3.172","30.0","20.0","20.0","20.0","10.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","13","3.354","46.2","15.4","15.4","15.4","7.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","52","3.905","61.5","5.8","1.9",".",".","",".","",".","30.8","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","","4","4.000","50.0",".",".",".",".","",".","",".","25.0","",".",".","",".","25.0","",".",".",".","."
"Prof Yr 4","","","4","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".","",".",".","",".",".",".","."
"Professionals","","","8","4.000","50.0",".",".",".",".","",".","",".","37.5","",".",".","",".","12.5","",".",".",".","."
"","Dept. Total","","75","3.769","58.7","6.7","4.0","2.7","1.3","",".","",".","25.3","",".",".","",".","1.3","",".",".",".","."
