"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","146","3.374","52.1","11.6","13.7","6.2","6.8","2.1","2.7","3.4","0.7",".",".",".",".",".",".","0.7"
"Intro-Mus Cult of the World","103
001","","19","3.719","57.9","10.5","10.5","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"The Symphony","106
001","","89","3.312","37.1","12.4","29.2","6.7","10.1",".",".","4.5",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".","."
"","111
001","","17","3.313","76.5",".",".",".",".","5.9","11.8","5.9",".",".",".",".",".",".",".","."
"","002
111","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","38","3.689","86.8","2.6",".",".",".","2.6","5.3","2.6",".",".",".",".",".",".",".","."
"Music in Performance","114
001","","587","3.957","91.7","2.7","1.0","0.5","0.2",".","0.2","3.7",".",".",".",".",".",".",".","."
"","122
001","","31","3.226","19.4","29.0","41.9","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","002
122","","36","3.306","33.3","19.4","33.3","8.3","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","67","3.269","26.9","23.9","37.3","6.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","001
151","","33","3.909","87.9","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
101","","16","3.219","18.8","25.0","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
172","","15","3.100","13.3","40.0","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","103
172","","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","13","3.269","23.1","30.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","105
172","","16","3.625","56.3","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","67","3.321","26.9","32.8","26.9","10.4","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","304","3.630","45.7","29.9","16.1","2.6",".",".",".","3.9",".",".",".",".",".","1.0","0.7","."
"Survey-Hist Western Music","212
001","","59","3.263","40.7","13.6","22.0","8.5","13.6","1.7",".",".",".",".",".",".",".",".",".","."
"","222
001","","19","3.263","15.8","47.4","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","002
222","","30","3.328","13.3","46.7","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","3.3"
"Musica Practica 4","Course Total","","49","3.302","14.3","46.9","28.6","4.1","2.0","2.0",".",".",".",".",".",".",".",".",".","2.0"
"Vocal Techniques","241
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","254
001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
