"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","434","2.683","14.1","9.4","21.0","24.0","24.0","4.4","1.8","0.7",".",".",".",".",".",".",".","0.7"
"","101
002","410","2.654","10.5","12.4","21.0","23.7","25.6","5.4","1.0",".",".",".",".",".",".",".",".","0.5"
"","101
003","453","2.849","12.1","17.7","25.4","20.5","20.5","1.5","0.7","0.9",".",".",".",".",".","0.4",".","0.2"
"Principles-Microeconomics","Course Total","1297","2.731","12.3","13.3","22.5","22.7","23.3","3.7","1.2","0.5",".",".",".",".",".","0.2",".","0.5"
"","102
001","272","2.916","15.4","22.4","20.2","25.4","10.3","4.4","1.1","0.4",".",".",".",".",".",".",".","0.4"
"","102
002","245","2.837","20.4","15.9","18.4","20.4","16.7","4.5","2.9","0.4",".",".",".",".",".",".",".","0.4"
"","102
003","235","2.687","10.6","20.0","16.6","23.4","18.7","4.7","3.8","0.9","0.4",".",".",".",".",".",".","0.9"
"Principles-Macroeconomics","Course Total","752","2.820","15.6","19.5","18.5","23.1","15.0","4.5","2.5","0.5","0.1",".",".",".",".",".",".","0.5"
"","111
001","34","3.258","38.2","20.6","23.5","5.9","2.9",".","5.9","2.9",".",".",".",".",".",".",".","."
"","002
111","30","3.067","23.3","33.3","20.0","6.7","6.7","6.7","3.3",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","64","3.167","31.3","26.6","21.9","6.3","4.7","3.1","4.7","1.6",".",".",".",".",".",".",".","."
"Bascom Course","001
236","21","3.095","14.3","33.3","23.8","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","300
001","10","3.250","20.0","10.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","15","3.067","26.7",".","53.3",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","300
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","27","3.167","25.9","3.7","59.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","301
001","60","2.520","16.7","8.3","15.0","10.0","30.0","10.0","3.3","1.7",".",".",".",".",".","3.3",".","1.7"
"","301
002","68","2.287","2.9","10.3","25.0","14.7","17.6","11.8","7.4","5.9","1.5",".",".",".",".","1.5",".","1.5"
"Intmed Microeconomic Theory","Course Total","128","2.399","9.4","9.4","20.3","12.5","23.4","10.9","5.5","3.9","0.8",".",".",".",".","2.3",".","1.6"
"Intmed Macroeconomic Theory","302
001","134","2.336","7.5","16.4","14.2","16.4","23.9","13.4","6.7","1.5",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","35","3.031","11.4","17.1","42.9","11.4","5.7","2.9",".","5.7",".",".",".",".",".","2.9",".","."
"","310
001","45","2.733","28.9","15.6","11.1","11.1","17.8","6.7","8.9",".",".",".",".",".",".",".",".","."
"","310
002","26","2.923","11.5","11.5","38.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","71","2.803","22.5","14.1","21.1","16.9","15.5","4.2","5.6",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Math Trtmt","311
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Macroecon-Math Trtmt","312
001","12","3.279","25.0","25.0","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","6","2.400",".","16.7","16.7","16.7","16.7","16.7",".","16.7",".",".",".",".",".",".",".","."
"Investments","Course Total","8","2.714","12.5","12.5","25.0","12.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".","."
"Money and Banking","330
001","129","2.845","17.1","17.8","23.3","23.3","9.3","5.4","3.1","0.8",".",".",".",".",".",".",".","."
"Comparative Econ Systems","365
001","33","2.909","21.2","18.2","24.2","18.2","12.1",".","6.1",".",".",".",".",".",".",".",".","."
"","390
001","73","3.234","20.5","30.1","32.9","4.1","6.8","2.7",".","2.7",".",".",".",".",".",".",".","."
"","390
002","16","3.107","25.0","25.0","6.3","18.8","18.8",".",".","6.3",".",".",".",".",".",".",".","."
"Contemporary Economic Issue","Course Total","89","3.212","21.3","29.2","28.1","6.7","9.0","2.2",".","3.4",".",".",".",".",".",".",".","."
"Introductory Econometrics","001
410","33","2.672","15.2","18.2","15.2","15.2","18.2","15.2",".",".",".",".",".",".",".","3.0",".","."
"Urban & Regional Economics","420
001","13","3.308","38.5","15.4","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Financial System","435
001","31","3.129","19.4","25.8","25.8","19.4","9.7",".",".",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","001
441","55","2.952","10.9","29.1","30.9","12.7","12.7",".","3.6",".",".",".",".",".",".",".",".","."
"Race,Gendr,Ethn-Labor Markt","460
001","10","3.250","20.0","20.0","20.0","20.0",".",".",".","10.0","10.0",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","66","2.807","18.2","18.2","25.8","13.6","15.2","3.0","6.1",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468
001","24","2.333","20.8",".","16.7","16.7","20.8","16.7","8.3",".",".",".",".",".",".",".",".","."
