"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","165","2.844","18.2","13.3","22.4","14.5","24.8","3.0","0.6","3.0",".",".",".",".",".",".",".","."
"","100","002","169","2.914","17.2","19.5","23.7","13.0","23.7","1.8","0.6",".",".",".",".",".",".","0.6",".","."
"General Anthropology","","Course Total","334","2.880","17.7","16.5","23.1","13.8","24.3","2.4","0.6","1.5",".",".",".",".",".","0.3",".","."
"Archaeology & Prehist World","102","001","120","2.797","21.7","5.8","30.8","9.2","24.2","4.2","2.5","1.7",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","441","3.079","23.8","15.2","30.4","12.2","12.2","2.0","0.5","2.9","0.2",".",".",".","0.2",".","0.2","."
"Evolution of Human Species","107","001","216","2.693","4.6","16.7","30.1","20.4","21.8","2.8","1.9","0.5","0.5",".",".",".",".",".",".","0.9"
"Intro Archaeol-Native N Am","208","001","60","2.949","10.0","25.0","30.0","18.3","13.3",".","1.7","1.7",".",".",".",".",".",".",".","."
"Intro to Chicano Culture","210","001","13","3.231","23.1","30.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","9","3.222","77.8",".",".",".",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","28","2.732","10.7","14.3","32.1","32.1",".","3.6","7.1",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","13","3.308","7.7","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prehistoric Europe","309","001","44","2.756","22.7","13.6","18.2","9.1","15.9","9.1","4.5","4.5",".",".",".",".",".",".",".","2.3"
"Anthro of Lowland S America","329","001","36","3.886","77.8","16.7","2.8",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","45","3.399","55.6","17.8","11.1","4.4",".","4.4","4.4",".",".",".",".",".","2.2",".",".","."
"Archaeology-Western N Amer","356","001","47","3.500","31.9","44.7","12.8","4.3",".","2.1",".","4.3",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ceramic Analysis-Archaeolgy","392","001","24","3.455","29.2","29.2","29.2","4.2",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"Evolutionary Biology","410","001","19","2.474","10.5",".","31.6","10.5","42.1",".","5.3",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","12","3.140","33.3",".","58.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","490","001","21","3.286","47.6","19.0","23.8",".",".",".","9.5",".",".",".",".",".",".",".",".","."
"","490","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","53","3.679","71.7","15.1","9.4",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Current Probs-Paleoanthro","605","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","17","3.433","35.3","41.2","5.9",".",".",".","5.9",".",".",".",".",".",".","11.8",".","."
"Nutr Ecol of Human Evolutn","641","001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","10","3.778","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","690","002","22","3.813","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","32","3.803","65.6","25.0","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Senior Thesis","692","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","063","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 157 of 374",""
